Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1966	4	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	60	
1968	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1969	27	0	0	0	0	0	0	0	0	0	0	160000	0	0	0	0	0	
1970	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1973	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1974	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1975	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1976	15	0	0	0	0	0	0	0	0	0	106000	212000	0	0	0	0	7500	
1977	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	
1978	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1979	9	0	0	0	0	0	0	0	0	0	11075000	22150000	0	0	3	0	3762	
1980	13	0	0	0	17	0	0	0	0	0	0	10000	0	0	0	0	3	
1981	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1982	10	0	0	0	0	0	0	0	0	0	47300	1400000	0	0	0	0	0	
1983	12	0	0	0	8	10	40	0	0	525	70000	140000	0	0	0	0	15	
1984	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1985	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1986	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1987	16	0	5	0	1	0	9	0	0	0	0	0	0	0	0	0	0	
1988	18	9	2	0	221	14	927	0	226	0	0	0	0	0	0	0	0	
1989	22	29	18	0	323	126	491	0	0	111	0	400000	1	0	0	0	30000	
1990	2	0	0	0	0	4	50	50	0	0	0	0	0	0	0	0	0	
1992	6	2	8	0	11	0	0	0	0	0	0	0	0	0	0	0	400	
1993	13	9	0	0	3	0	0	0	0	40	0	0	0	0	0	0	0	
1994	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1995	18	13	0	0	42	121	1006	0	0	1400	0	23200000	1	0	0	0	340	
1996	5	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	
1997	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1998	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1999	5	0	0	0	0	0	110	500	0	130	8724751	161700000	0	0	0	0	100	
2000	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2001	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2002	11	0	0	0	21	2	100	0	0	0	3059728	56915000	0	0	400	0	11	
2004	2	0	1	0	3	0	15	0	0	0	0	0	0	0	0	0	0	
2005	37	33	0	22	5	0	0	9120	0	27	53162000	1010128000	1	0	20.3	0	120385	
2006	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2007	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2008	52	16	0	0	289	214	2000	7605	0	2806	4109476	78080000	3	3	718.84	0	1691	
2009	14	0	0	0	89	88	70	0	0	40	0	0	0	0	0	0	500	
2010	117	3	11	0	11	110	0	522	0	55	0	31670225.15	0	0	519.2	0	4000	
2011	61	1	4	1	94	4784	586	1711	0	400	40200	1558582	7	2	719	0	449012	
2012	58	24	4	3	165	287	529	92613	2	408	0	0	1	0	0	0	20	
2013	4	8	0	0	0	3	0	15	0	0	0	0	0	0	0	0	0	
2014	9	0	0	4	1	0	1	347	0	10	0	0	0	0	0	0	0	
2015	13	29	5	3	11	49	0	8255	0	0	0	8371103.49	0	0	0	0	4	
