Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1969	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1979	4	0	0	0	0	0	0	0	0	0	3200000	6400000	0	0	0	0	0	
1982	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1983	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1985	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1987	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1990	1	0	0	0	0	0	0	0	0	0	0	1000000	0	0	0	0	0	
1995	1	0	0	0	0	0	0	0	0	0	0	6000000	0	0	0	0	0	
1997	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1998	2	0	0	0	0	0	0	0	0	1385	0	918490	0	0	0	0	0	
2001	1	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	
2002	2	0	0	0	170	440	3440	1500	0	0	32448853	600312000	0	0	0	0	0	
2003	2	0	0	0	15	35	0	0	0	0	0	10000000	0	0	0	0	0	
2006	1	0	0	0	0	0	0	824	0	1800	0	8000000	0	0	0	0	0	
2007	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2008	1	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	
2009	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2010	2	0	0	0	0	10	0	0	0	0	0	0	0	0	94.35	0	0	
2011	4	3	0	2	2	150	1000	725	0	0	0	0	0	0	0	0	0	
2012	1	0	0	0	27	48	0	200	0	0	0	0	0	0	0	0	0	
2014	3	0	0	0	19	157	0	0	0	0	0	0	0	0	0	0	0	
