Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1987	1	2	2	0	0	0	0	0	0	0	0	3000000	0	0	0	0	0	
1991	6	9	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1992	7	9	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
1993	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1994	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1995	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1996	8	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1997	6	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1998	10	13	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1999	7	12	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2000	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2001	17	22	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2002	13	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2003	6	8	0	0	0	0	0	0	0	0	0	908000000	0	0	0	87	0	
2005	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2006	2	1	0	0	0	138	0	0	1	0	0	29189000000	0	0	0	0	0	
2007	9	10	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2008	11	11	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2010	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
