Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1997	1	0	0	0	0	0	0	0	0	0	0	175	0	0	0	0	0	
1998	88	53	0	0	0	0	0	7105	0	0	0	351358	0	0	1	0	0	
1999	40	12	0	0	1800	0	0	47335	0	0	0	0	41	0	0	0	0	
2001	39	0	6	2	117	0	0	6	0	0	0	0	1	0	5	0	0	
2002	21	0	0	0	2079	0	10377	0	0	10377	0	0	0	0	0	0	0	
2003	61	29	791	0	4441	0	17303	791	0	17303	0	0	0	9	0	0	0	
2004	85	28	1	0	3952	0	16795	290	0	16795	0	0	4	1	0	0	0	
2005	49	17	9	0	3265	0	4804	3200	0	4804	0	0	0	0	0	0	0	
2006	50	11	20	0	3486	0	1892	3846	0	1892	0	0	4	2	0	0	0	
2007	49	7	0	0	777	0	1977	3254	0	1977	0	0	1	0	0	0	0	
2008	175	39	38	1	2002	0	7141	4190	0	7141	0	0	7	0	0	0	0.05	
2009	667	41	84	2	3968	0	13170	5404	0	13170	0	0	21	1	50	0	0	
2010	232	45	233	1	2930	157	6150	1875	0	6150	0	0	1	2	0	0	0	
2011	488	21	77	0	2281	46	3302	6429	0	3302	0	0	12	12	55	0	0	
2012	463	30	176	0	2617	29	4566	8126	0	4566	0	0	14	1	12	0	0	
2013	19	0	0	0	60	0	0	80	0	0	0	0	3	0	0	0	0	
2015	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
2018	1	20	43	0	5	0	0	43	0	0	0	0	0	0	0	0	0	
2019	1	0	0	0	2	0	0	10	0	0	0	0	0	0	0	0	0	
