Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1861	1	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1907	1	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1973	1	0	0	1500	0	0	0	0	0	0	0	0	0	0	200	0	0	
1977	5	396	273	76	0	0	0	273	0	0	0	0	1	0	16	0	0	
1979	1	175	0	364	0	0	171	0	0	171	0	0	0	0	0	0	0	
1991	1	22	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	
1992	1	2400	0	0	0	0	0	0	0	0	0	0	113	0	0	0	0	
1994	1	75	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	
1998	6	0	0	0	0	0	0	381	0	0	0	51	0	0	0	0	0	
2006	9	650	520	33	1777	0	6727	520	0	6727	0	0	8	4	349.6	0	20.2	
2010	1	447	498	56	517	0	15353	498	0	15353	0	0	6	5	0	0	0	
2011	1	1	0	0	17	0	67	0	0	67	0	0	0	2	0	0	0.5	
2012	9	11	9	0	0	0	0	9	0	0	0	0	0	0	0	0	0	
2014	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2018	7	437	14059	16	1583	70	42325	14059	0	42325	0	0	3	0	0	0	0	
