Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1980	8	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	
1981	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1982	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1983	5	0	0	0	0	0	0	0	0	0	0	2000000	0	0	0	0	0	
1984	11	0	0	0	0	0	0	160	0	0	0	320000	0	0	206	0	0	
1985	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1986	15	0	0	0	0	0	0	0	0	0	0	1000000	0	0	0	140	0	
1987	5	0	0	0	0	0	0	0	0	0	0	25000000	0	0	50	0	0	
1988	6	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	
1989	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1990	4	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	
1991	22	0	4	0	0	14	0	0	0	0	0	0	0	0	1.7	0	0	
1992	6	0	6	0	0	0	0	0	0	0	0	0	0	0	4.5	0	0	
1993	16	0	0	0	0	0	0	0	0	0	0	0	0	0	4.65	0	0	
1994	9	0	0	0	0	0	0	0	0	0	0	200000000	0	0	19.2	0	0	
1995	48	0	0	0	0	0	1	3	0	0	0	2715000000	0	0	199.3	0	0	
1996	40	0	3	0	0	1	0	0	0	0	0	90000000	0	0	129.5	0	0	
1997	41	0	3	0	0	0	0	0	0	0	0	825000000	0	0	80.1	0	0	
1998	163	0	0	0	0	38	0	0	0	0	0	963000000	0	0	420.9	0	0.95	
1999	46	0	29	0	0	0	0	27	0	0	0	76000000	0	0	537.57	0	0	
2000	49	0	20	0	0	0	0	0	0	0	0	831000000	0	0	110.15	0	0	
2001	104	0	0	0	0	0	0	0	0	0	0	150000000	0	0	527.45	0	0	
2002	159	0	6	0	0	1	0	27	0	0	0	1001000000	0	0	698.5	0	0	
2003	25	1	2	0	0	0	0	0	0	0	0	0	0	0	1.85	0	0	
2004	37	0	0	0	0	0	0	0	0	0	0	0	0	0	5174.35	0	0	
2005	25	1	0	0	0	0	1	0	0	0	0	0	0	0	26.5	0	0	
2006	63	0	0	0	0	0	0	0	0	0	0	0	0	0	249.94	0	0	
2007	116	0	54	0	0	0	0	0	0	0	500000	0	0	0	373.11	0	0	
2008	62	0	431	0	0	0	0	0	0	0	0	0	0	0	261.95	0	0	
2009	107	0	3	0	0	10	0	0	0	0	0	0	0	0	685.53	0	0	
2012	20	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	
2013	2	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	0	
2014	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2016	3	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2017	5	0	2	0	0	0	0	0	0	0	0	0	0	0	31.8	0	0	
2018	13	0	0	0	0	0	0	0	0	0	0	0	0	0	227.2	0	0	
2019	2	3	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2020	11	1	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	
2021	10	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0	0	
