Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1986	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
1990	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1991	3	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	
1993	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	
1994	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	
1995	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1996	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1998	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1999	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	
2000	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	
2001	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2002	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
2003	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
2004	2	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	
2005	2	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	
2006	9	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	
2007	28	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	
2008	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
