Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1962	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1977	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1978	1	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	
1980	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1982	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1984	4	0	0	0	0	322	0	0	0	0	0	0	0	0	0	0	0	
1985	3	0	0	0	0	270	0	0	0	0	0	0	0	0	0	0	0	
1987	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
1988	3	0	0	0	0	0	1	0	0	216	0	0	0	0	0	0	0	
1991	4	0	0	0	0	157	0	0	0	0	0	0	0	0	0	0	0	
1992	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1993	7	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	
1994	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1995	2	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	
1999	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2000	12	0	0	0	0	115	0	0	0	0	0	0	0	0	0	0	0	
2001	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2002	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2004	11	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	
2005	3	0	0	0	0	126	0	0	0	0	0	0	0	0	0	0	0	
2006	18	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
2007	71	0	11	0	0	25	0	0	0	22	0	21345	0	0	0	0	0	
