Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1960	3	91	1828	0	40000	120000	0	168240	0	0	0	290583000	0	0	0	0	0	
1961	1	0	0	0	0	0	0	0	0	0	0	28531000	0	0	0	0	0	
1962	1	0	0	0	0	0	0	0	0	0	0	28000000	0	0	0	0	0	
1964	1	0	0	0	0	0	0	0	0	0	0	47165000	0	0	0	0	0	
1967	3	0	0	0	0	0	0	23524	0	0	0	5129000	0	0	0	0	0	
1972	1	2	0	0	0	0	0	0	0	0	0	1783000	0	0	0	0	0	
1975	2	10	59	0	0	11320	826258	0	0	0	0	367000000	0	0	0	0	0	
1979	1	0	0	0	0	0	0	0	0	0	0	50000000	0	0	0	0	0	
1980	3	1	0	0	0	0	0	2000	0	2000	0	1050000000	0	0	0	0	0	
1981	2	0	0	0	0	0	0	65	0	0	0	420000000	0	0	0	0	0	
1982	1	0	0	0	0	0	0	0	0	0	0	50000000	0	0	0	0	0	
1983	2	1	30	1	68	0	0	20	0	1	0	218000000	0	0	0	0	0	
1985	3	0	1	0	0	145	0	0	0	0	0	0	0	0	0	0	0	
1986	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	
1989	4	1	507	0	844	0	0	10	0	0	0	430228000	0	0	0	0	0	
1991	3	0	4	0	200	0	0	7500	0	0	0	0	0	0	0	0	0	
1994	3	0	0	0	450	0	2	2300	0	0	0	1500000000	0	0	0	0	0	
1995	4	0	0	0	0	1	0	0	0	0	0	1315327000	0	0	0	0	0	
1996	11	0	0	0	0	7	3	0	0	0	0	310000000	0	0	0	0	0	
1997	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	
1998	1	0	0	0	0	0	0	0	0	50	0	385000000	0	0	0	0	0	
1999	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2000	1	0	0	0	5	0	0	0	0	0	0	360000000	0	0	0	0	0	
2001	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
2002	3	9	0	0	0	80	0	1050	0	500	0	1150000000	0	0	0	0	0	
2003	4	0	0	0	204	0	0	300	0	0	0	1360000000	0	0	0	132	0	
2005	1	0	0	0	0	0	0	0	0	0	0	567000000	0	0	0	0	0	
2007	3	18	0	0	0	0	0	0	0	0	0	1200000000	0	0	0	0	0	
2009	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2012	4	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	
2013	2	0	9	0	16	41	0	60	0	60	0	0	0	0	0	0	0	
2014	2	0	1	0	0	19	0	191	0	0	0	1001500000	0	0	0	0	0	
