Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1971	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1974	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1975	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1976	2	0	0	0	0	0	0	0	0	0	0	0	0	0	400	0	0	
1977	5	0	0	0	0	0	0	0	0	0	0	2000000	0	0	0	0	0	
1978	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1979	5	6	30	0	0	0	0	20000	0	0	0	21000000	0	0	0	0	0	
1980	6	0	0	0	0	0	0	2000	0	0	0	0	0	0	0	0	0	
1982	4	0	0	0	0	0	0	0	0	0	0	0	0	0	500	0	0	
1983	18	0	0	0	0	0	0	2000	0	0	0	100000000	0	0	28500	1100	0	
1984	1	0	0	0	0	0	0	0	0	0	0	522000000	0	0	3235	0	0	
1985	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1987	2	0	0	0	0	0	0	0	0	0	0	300000000	0	0	0	0	0	
1988	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1990	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	800	0	
1991	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1992	4	0	0	0	0	0	0	300	0	0	0	0	0	0	225000	0	0	
1993	3	0	0	0	0	0	0	600	0	0	0	0	0	0	0	0	0	
1994	5	0	0	0	0	0	0	0	0	0	0	0	0	0	450	0	0	
1995	5	0	0	0	0	0	0	0	0	0	0	0	0	0	95800	0	0	
1996	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1998	7	0	0	0	0	0	0	0	0	0	0	0	0	0	85	0	0	
1999	20	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	
2000	10	0	0	0	0	0	0	97600	0	0	0	0	0	0	8000	0	0	
2001	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2002	74	0	0	0	0	0	0	0	0	0	0	0	0	0	99502	0	0	
2003	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2004	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2005	30	0	0	0	0	0	0	40000	0	0	0	0	0	0	190206	1650	0	
2006	34	0	3	0	0	0	0	0	0	0	0	0	0	0	34880	100	0	
2007	50	0	0	0	0	0	0	0	0	0	0	10800000	0	0	360006	570	0	
2008	42	0	0	0	0	0	0	800	0	0	0	0	0	0	865	0	0	
2009	72	0	0	0	0	0	0	1200	0	1200	0	0	0	0	7581	0	0	
2010	122	1	0	0	0	0	0	2100	0	0	0	0	0	0	7085	0	0	
2011	83	1	0	0	0	0	0	3500	0	0	0	0	0	0	6988	0	0	
2012	37	0	0	0	0	0	0	0	0	0	0	0	0	0	146	0	0	
2013	22	0	0	0	0	0	0	0	0	0	0	0	0	0	9905	0	0	
