Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1970	31	0	0	0	0	0	0	0	0	0	0	100000	0	0	72	0	0	
1971	42	0	0	0	0	0	0	0	0	0	0	0	0	0	8315	0	0	
1972	17	0	0	0	0	0	0	0	0	0	0	10000000	0	0	510966	0	0	
1973	17	0	0	0	0	0	0	0	0	0	0	50000000	0	0	8049	0	0	
1974	10	0	0	0	1	0	0	0	0	0	0	3000000	0	0	1800	0	0	
1975	36	0	5	0	0	0	0	0	0	0	0	0	0	0	28393	0	0	
1976	13	1	0	0	0	0	0	0	0	0	0	2500000	0	0	5347	0	0	
1977	6	0	110	0	100	0	0	0	0	0	0	0	0	0	35	0	0	
1978	12	0	0	0	20	0	80	0	0	0	0	7150000	0	0	38000	0	0	
1979	22	5	25	0	0	0	0	1846	0	0	0	4500000	0	0	37955	0	0	
1980	5	0	0	0	0	0	0	0	0	0	0	0	0	0	8117	0	0	
1981	8	0	0	0	0	0	0	0	0	0	0	0	0	0	1870	0	0	
1982	14	1	0	0	0	0	0	0	0	150	0	5000000	0	0	41300	0	0	
1983	20	0	100	0	510	0	2000	3600	0	200	0	100000000	0	0	21889	30	0	
1984	15	2	0	0	80	0	0	0	0	720	0	300000000	0	0	74575	0	0	
1985	1	0	0	0	0	0	0	0	0	0	0	0	0	0	250	0	0	
1986	5	9	0	0	0	0	0	0	0	0	0	500000000	0	0	140500	0	0	
1987	7	0	0	0	0	0	0	0	0	0	0	550000000	0	0	1140	0	0	
1988	24	5	0	0	0	0	0	0	0	0	0	0	0	0	195710	0	0	
1989	14	0	0	0	0	0	0	0	0	0	0	0	0	0	126642	0	0	
1990	14	0	100	0	0	0	0	0	0	0	0	0	1	0	9898	0	0	
1991	69	3	0	4	0	0	0	0	0	0	0	1131000	0	0	78754	0	0	
1992	9	0	0	0	0	0	0	0	0	0	0	0	0	0	4608	0	0	
1993	32	0	0	0	0	400	0	9100	0	400	0	10000000	0	0	42862	0	0	
1994	24	0	0	0	0	0	320	0	0	140	0	0	0	0	4790	0	0	
1995	5	0	0	0	0	0	0	0	0	0	0	0	0	0	25310	0	0	
1996	17	0	0	0	0	0	0	0	0	0	0	0	0	0	11763	0	0	
1997	10	2	0	0	0	0	0	0	0	0	0	0	0	0	18225	0	0	
1998	118	53	34	11	68	0	130	5	0	5395	0	0	0	0	127959.6	2047	0	
1999	174	2	1	0	50	23	0	0	0	340	0	650000	0	0	145806	0	0	
2000	71	9	0	0	1	0	0	0	0	3000	0	0	0	0	85690.5	0	0	
2001	9	3	3	0	0	0	0	0	0	0	0	0	0	0	601	0	0	
2002	39	3	152	0	54	0	200	0	0	1200	0	0	0	0	145641	0	0	
2003	64	8	4	0	84	35	0	464	20	1620	0	0	0	1	150082	56	0	
2004	12	0	0	0	0	0	0	0	0	0	0	0	0	0	4188	0	0	
2005	69	6	3	25	0	40	0	0	0	7322	0	0	0	0	77636	0	0	
2006	120	8	1	0	3	40	0	0	0	160	0	0	0	0	300873	0	0	
2007	42	17	18	0	9	0	0	0	0	630	0	0	0	0	229870	0	0	
2008	116	4	0	0	6	0	0	0	0	500	0	0	0	0	39839	0	0	
2009	82	9	0	0	0	0	0	0	0	80	0	0	0	0	28237	0	0	
2010	18	4	0	0	7	3	0	0	0	0	0	0	0	0	87834.4	0	0	
2011	309	13	42	8	169	2	420	51200	0	2009	0	121000000	0	0	673924.5	2000	0	
2012	96	10	11	1	8	0	150	0	0	1000	0	0	0	0	148603.6	30	0	
2013	151	4	301	0	33	0	382	0	0	1425	0	40000000	0	0	387154	15	0	
