Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1970	14	268	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1971	4	14	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1972	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1973	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1974	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
1975	19	15	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1976	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1977	2	23	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	
1978	3	28	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1979	4	17	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	
1983	2	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1986	1	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1989	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1990	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1991	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1992	9	51	100000	0	0	0	40000	0	0	0	0	0	0	0	104000	0	0	
1993	5	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1995	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1996	3	12	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1998	1	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1999	28	900	24016	0	0	0	40	0	0	0	0	0	0	0	0	0	0	
2000	4	16	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2001	11	22	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2002	10	15	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2003	2	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2004	5	3	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2005	15	83	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2006	24	40	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2007	81	92	55	0	0	0	1350	15507	0	0	0	20000000	0	0	83000	0	0	
2008	92	131	23003	0	0	0	150	148000	0	720	0	10000000	0	0	500	0	0	
2009	54	21	298502	0	0	0	560	500	0	28	0	0	0	0	0	0	0	
2010	559	45	39	0	0	0	0	10000	0	0	0	0	0	0	7488.875	0	0	
2011	132	17	3	0	0	0	74	20000	0	0	0	0	0	0	81000	0	0	
2012	39	36	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2013	51	29	12	0	0	0	50	0	0	0	0	0	0	0	0	0	0	
