Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1970	22	0	0	0	0	0	0	0	0	0	0	800000	0	0	0	0	0	
1971	40	0	0	0	250	0	1250	0	0	0	0	0	0	0	0	0	0	
1972	4	3	6	0	170	0	680	0	0	0	0	0	0	0	0	0	0	
1973	19	3	56	0	0	0	0	0	0	700	0	0	0	0	0	0	0	
1974	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1975	4	0	5	0	0	0	0	0	0	0	0	13000000	0	0	0	0	0	
1977	22	0	0	0	40	0	0	0	0	0	0	50250000	0	0	0	0	0	
1978	9	7	28	0	0	20	0	0	0	0	0	0	0	0	0	0	0	
1979	28	6	136	20	145	393	3000	0	0	50000	0	2500000	0	0	0	0	0	
1980	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1981	13	4	0	0	0	0	0	400	0	0	0	0	0	0	0	0	0	
1982	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1983	39	12	84	0	334	0	1320	20008	0	0	0	22700000	4	0	100	0	0	
1984	10	2	84	0	8	10	0	40	0	0	0	110000000	0	0	0	0	0	
1985	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1987	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1988	14	31	3	60	0	0	0	0	0	0	100000000	0	0	0	7000	0	0	
1989	4	4	2	0	0	15	0	0	0	0	0	0	0	0	0	0	0	
1990	11	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	
1991	16	0	13	0	0	0	0	0	0	0	0	0	1	0	0	0	0	
1992	19	6	46	0	23	583	400	0	0	0	0	0	0	0	1012	0	0	
1993	58	9	220	32	282	1218	3940	47200	0	80	0	9900000	3	0	1030	0	0	
1994	26	3	28	0	20	40	610	35000	0	0	0	204740000	0	0	4200	0	0	
1996	8	7	252	2	30	200	0	0	0	1350	0	0	1	0	0	0	0	
1997	2	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
1998	4	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	
1999	151	15	7	4	0	580	1912	0	0	0	0	0	0	0	15000	0	0	
2000	26	0	1	0	40	328	0	12200	0	0	0	0	0	0	96000	0	0	
2001	28	0	3	0	10	70	0	400000	0	0	0	0	0	0	0	0	0	
2002	17	3	2	0	60	2501	240	67004	0	0	0	0	0	0	0	0	0	
2003	8	6	0	2	60	455	180	0	0	45	0	0	3	0	0	0	0	
2004	16	0	10	0	0	267	0	4100	0	100	0	0	1	0	300	0	0	
2005	30	5	25	0	0	152	0	361200	0	65700	0	0	0	0	50	0	0	
2006	46	5	8	5	15	691	0	108000	0	12	0	0	0	0	0	0	0	
2007	109	4	25	0	0	7765	355	46000	0	50	0	0	1	0	400	0	0	
2008	206	8	41	0	6	9246	100	429000	0	470	0	1800000000	0	0	0	0	0	
2009	48	1	119	0	0	291	0	40000	0	0	0	0	12	0	0	0	0	
2010	198	4	40	0	84	5739	0	248512	0	1500	0	0	0	0	202.75	0	0	
2011	53	7	21	6	0	800	0	0	0	0	0	0	0	0	10000	0	0	
2012	34	3	28	0	0	20	0	0	0	0	0	0	0	0	0	0	0	
2013	14	1	12	0	0	0	0	0	0	0	0	0	3	0	0	0	0	
