Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1985	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1988	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1989	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1990	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1991	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1992	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1993	14	0	0	0	0	0	0	29163	0	0	0	0	0	0	0	0	0	
1994	14	3	0	0	0	0	0	1750	0	0	0	0	0	0	0	0	0	
1995	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1996	9	0	0	0	292	62	96	29250	0	0	0	0	0	0	0	0	0	
1997	14	18	0	0	0	0	790	0	0	0	0	0	0	0	0	0	0	
1998	30	0	0	0	0	0	0	5550	0	0	0	0	0	0	872	60	0	
1999	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	
2000	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2001	20	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2002	21	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	
2003	29	0	0	0	0	0	0	148	0	0	0	0	0	0	2	4	0	
2004	37	0	0	0	0	0	0	845	0	0	0	0	0	0	0	15	0	
2005	18	0	0	0	0	0	8	8	0	0	0	0	0	0	7	0	0	
2006	43	1	0	0	0	0	30	118	0	0	0	0	0	0	190	40	0	
2007	47	0	0	0	0	0	41	122	0	0	0	0	0	0	745	694	0	
2008	58	0	6	0	0	0	70	1572	0	0	0	0	0	0	2989	74	0	
2009	34	0	0	0	0	0	0	0	0	0	0	0	0	0	110	0	0	
2011	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
