Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
2011	6	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2012	4	4	0	0	2	0	52	0	0	0	0	4200000	0	0	0	0	0	
2013	4	0	0	0	12	0	54	0	0	0	0	0	0	0	0	0	0	
2014	2	1	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	
2015	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2016	241	425	0	0	39	598	23151	41619	28	0	0	0	0	0	0	0	0	
2017	492	595	188	0	15	1293	195090	0	8612	62	0	1600000	0	0	0	0	0	
2018	597	309	332	14	33	145	102538	37013	6927	1572	0	64200000	0	0	0	0	0	
2019	733	224	425	0	7293	60	1	308705	0	5815	0	5163050	0	0	0	0	0	
2020	6	3	5	0	0	0	0	90	0	0	0	0	0	0	0	0	0	
