Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1971	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1972	1	15	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1973	2	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1974	2	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1975	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1977	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1978	2	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1979	5	8	7	0	0	0	0	3	0	0	0	0	0	0	0	0	0	
1980	5	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1981	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1982	4	7	3	0	0	0	0	0	0	0	0	0	0	0	1.01	0	0	
1984	2	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1988	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1989	4	18	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1990	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1991	2	8	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1994	3	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
1995	7	43	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	
1996	3	7	0	2	0	0	0	22	2	0	0	0	0	0	0	0	0	
1997	13	14	49	0	22	1	0	987	0	0	0	11278100	0	0	0	360	0	
1998	1	6	0	5	0	0	0	0	0	0	0	0	0	0	0	20	0	
1999	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2001	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	
2002	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	
2003	2	1	2	2	0	0	0	0	0	0	0	0	0	0	0	65	0	
2004	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	
2005	2	19	0	2	0	0	0	0	0	0	0	0	0	0	0	125	0	
2006	5	9	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	
2007	12	23	4	6	3	0	0	0	0	0	0	0	0	0	0	0	0	
2008	2	1	7	6	0	0	0	0	0	0	0	0	0	0	0	0	0	
2009	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2010	4	2	0	5	0	0	0	0	0	3	0	0	0	0	0	17	0	
2011	7	13	0	1	5	32	0	286	27	0	0	7775000	0	0	0	0	0	
2012	6	10	18	3	50	0	0	270	270	13	0	0	0	0	0	4	0	
2013	6	9	0	8	0	0	0	0	0	0	0	1250000	0	0	0	55	0	
