Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1971	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	0	
1972	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200	0	
1973	10	0	0	0	0	0	0	0	0	0	0	0	0	0	15	637	0	
1974	12	0	0	0	0	0	0	0	0	0	0	0	0	0	20	1113	0	
1975	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	280	0	
1976	18	0	0	0	0	0	0	0	0	0	0	0	0	0	10	361	0	
1977	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	0	
1978	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	338	0	
1979	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	155	0	
1980	6	0	0	0	0	0	0	0	0	0	0	0	0	0	2032	9082	0	
1982	5	0	0	0	0	0	0	0	0	0	0	0	0	0	338	35	0	
1983	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1.22	147	0	
1984	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1226	0	
1985	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1986	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	
1987	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1988	8	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	
1989	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	240	0	
1990	2	0	0	0	0	0	0	0	0	0	0	0	0	0	677	0	0	
1991	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	
1992	8	0	0	0	0	0	0	0	0	0	0	0	0	0	9767	112	0	
1993	8	0	0	0	0	0	0	0	0	0	0	300000	0	0	30000	65	0	
1994	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	0	
1995	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	379	0	
1996	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	
1997	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25017	0	
1998	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	
1999	13	0	0	0	0	0	0	0	0	0	0	0	0	0	25	247	0	
2000	14	0	0	0	0	0	0	0	0	0	0	19000	0	0	2818	190	0	
2001	59	0	0	0	0	0	0	0	0	0	0	943000	0	0	0	27154	0	
2002	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	517	0	
2003	35	0	0	0	0	0	0	0	0	0	0	3000000	0	0	0	1425	0	
2004	22	0	0	0	0	0	0	0	0	0	0	860000	0	0	0	906	0	
2005	9	11	0	0	0	0	0	50	0	0	0	0	0	0	0	102	0	
2006	15	0	0	0	0	0	0	0	0	0	0	2000000	0	0	0.3	668	0	
2007	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	352	0	
