Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1992	7	0	0	0	0	0	0	13400	0	0	0	0	0	0	29353.62	0	0	
1993	3	0	0	0	0	0	0	400	0	0	0	0	0	0	0	0	0	
1994	8	0	0	0	0	0	0	3350	0	0	1777777.7	12000000	0	0	8757.14	0	0	
1997	5	0	0	0	0	0	0	1500	0	0	0	0	0	0	3648	0	0	
1998	1	0	0	0	0	0	0	1600	0	0	0	0	0	0	0	0	0	
1999	1	0	0	0	0	0	0	0	0	0	0	0	0	0	11058	0	0	
2000	7	0	0	0	0	0	0	23410	0	0	0	0	0	0	13287.85	0	0	
2001	16	13	0	0	0	0	0	62750	0	0	0	0	0	0	36387.4	0	0	
2002	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2004	2	0	0	0	0	0	0	8736	0	0	0	0	0	0	3054.16	0	0	
2005	4	0	0	0	0	0	0	5800	0	0	0	0	0	0	0	0	0	
2007	2	0	0	0	0	0	0	5000	0	0	0	0	0	0	0	0	0	
2008	2	0	0	0	0	0	0	53000	0	0	0	0	0	0	0	0	0	
2009	10	0	0	0	0	0	0	32711	0	0	0	0	0	0	31393.02	33	0	
2010	7	0	0	0	0	0	0	43050	0	0	0	0	0	0	0	200	0	
2011	5	0	0	0	0	0	0	3700	0	0	0	0	0	0	0	0	0	
2012	7	0	0	0	0	95	0	56925	0	0	0	0	0	0	0	0	0	
2013	24	0	0	0	0	0	0	98037	0	0	0	0	0	0	0	0	0	
