Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1992	9	1	0	0	0	68	170	1553	0	0	0	0	0	0	0	0	1000	
1993	11	0	0	0	121	218	605	13921	0	305	0	0	0	0	20966.88	0	20000	
1994	3	0	0	0	0	90	0	450	0	0	0	0	0	0	0	0	0	
1995	21	4	424	0	6	153	187	32722	125	3630	0	0	0	0	514.37	0	0	
1996	36	2	0	68	203	726	6872	18699	0	16121	8505.22	74000	0	0	12242.5501	0	30	
1997	7	0	2	2	29	25	158	125	0	253	0	0	0	0	0	0	0	
1998	26	4	108	0	2248	671	181435	41130	0	6578	1130248	12428370	0	1	6685	0	16000	
1999	38	2	0	0	13	897	2894	125070	0	3969	165016	2000000	0	0	0	0	96000	
2000	6	2	0	0	2	14017	10	78280	375	8825	0	0	0	0	0	0	0	
2001	19	4	0	12	45	538	18222	23621	0	7125	2193.96	30000	0	0	1400.58	0	100000	
2002	10	2	0	0	4	470	8020	4400	0	980	0	0	0	0	1694.82	0	0	
2003	11	2	0	0	7	40	35	738	0	300	199123.85	3000000	0	0	1496.32	0	2500	
2004	3	0	0	0	21	100	105	500	0	0	0	0	0	0	1959.7043	0	0	
2005	19	0	0	0	0	387	28840	21597	0	6331	0	0	0	2	8823.92	0	156000	
2007	60	338	63	1003	3046	3333	91105	29260	0	12762	0	0	0	1	400504.2896	0	66000	
2008	59	12	0	1	255	3232	1155	17943	0	4697	5115.4	100000	19	3	1260.79	0	59000	
2009	8	2	0	1	149	1358	745	30126	0	5599	0	0	8	4	7283.18	0	0	
2010	46	11	0	2	35	1569	9910	54488	250	15283	0	0	0	0	6465	100	282500	
2011	27	11	0	0	9	676	425	3886	0	603	0	0	2	0	0	0	41226	
2012	20	0	0	0	15	787	75	9510	382	212	0	0	1	0	0	0	0	
2013	28	4	0	0	39	1524	195	51340	355	2995	0	0	0	0	3464	0	40200	
