Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1996	2	0	0	0	4	0	55	0	0	0	0	0	0	0	0	0	0	
1997	1	0	0	0	0	0	0	0	0	0	0	0	0	0	349	0	0	
1998	5	45	30	0	0	2	30315	10	0	0	0	0	0	0	1196	0	100000	
1999	5	0	0	0	0	15	0	75	0	0	0	0	0	0	560	0	0	
2000	4	0	0	0	7	0	35	0	0	0	0	0	0	0	0	0	0	
2007	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	240000	
2008	10	0	0	3	1	1	5	5	0	1085	0	0	0	0	0	0	400000	
2010	10	1	0	0	10	121	105	3755	0	0	0	0	0	0	350	0	49000	
2011	8	0	0	0	12	282	57	1410	0	2115	0	0	0	0	0	0	338800	
2012	8	4	0	0	0	1	0	0	0	56	0	0	0	0	6052.597	0	40000	
