Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1970	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1971	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1972	4	362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1973	4	150	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	
1975	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1976	3	0	0	0	0	0	0	0	0	0	0	0	0	0	700000	0	0	
1977	2	0	0	0	0	0	0	5	0	0	0	0	0	0	4000000	0	0	
1978	4	1	0	0	0	0	0	0	0	0	0	0	0	0	45000	0	0	
1979	9	1	0	0	0	0	0	2316008	0	0	0	287400000	0	0	851698	0	0	
1980	3	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1981	3	0	0	0	0	0	0	25	0	0	0	0	0	0	170700	0	0	
1982	9	25	0	0	0	0	0	0	0	0	0	0	0	0	342230	0	0	
1983	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1984	1	0	0	0	0	0	0	1160000	0	0	0	0	0	0	38470	0	0	
1985	25	82	0	0	0	0	0	0	0	0	0	1000000	0	0	21782	0	0	
1986	19	43	0	0	0	0	0	100	0	0	0	0	0	0	102000	0	0	
1987	50	1445	0	0	0	0	0	10548	0	0	0	250000	0	0	4917084	0	0	
1988	13	14	0	0	0	0	0	0	0	0	0	0	0	0	538000	0	0	
1989	9	19	18	0	0	0	0	0	0	0	0	0	0	0	81285	0	0	
1991	5	0	0	0	0	0	0	0	0	0	0	0	0	0	18199	0	0	
1993	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1996	44	25	200	0	0	0	0	0	0	0	0	0	0	0	158358	0	0	
1997	3	19	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	
1998	1	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2000	7	2	0	0	0	0	0	0	0	0	0	0	0	0	61448	0	0	
2001	1	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
