Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1977	1	17	0	0	0	0	0	352	0	0	0	0	0	0	0	0	0	
1990	1	7	0	0	0	0	0	1200	0	0	0	0	0	0	0	0	0	
1997	1	0	0	0	0	0	0	123	0	0	0	0	0	0	0	0	0	
1998	1	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1999	1	1	0	0	0	0	0	297	0	0	0	0	0	0	0	0	0	
2000	2	25	0	0	0	0	0	3649	0	0	0	0	0	0	0	0	0	
2001	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2002	1	122	0	0	0	0	0	2215	0	0	0	0	0	0	0	0	0	
2003	1	0	0	0	0	0	0	437	0	0	0	0	0	0	0	0	0	
2008	1	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	
2009	6	172	0	0	0	0	0	17864	0	0	91795.86	0	0	0	0	0	0	
2010	1	16	0	0	0	0	0	320	0	0	0	0	0	0	0	0	0	
2011	5	5	0	0	0	0	0	2715	0	0	0	0	0	0	0	0	0	
2012	1	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	
2013	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2014	4	30	0	0	0	0	5073	33	0	0	0	0	0	0	0	0	0	
2015	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2016	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2018	1	5	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2019	6	85	10274	0	0	0	0	0	0	2000	0	0	0	0	0	0	0	
