Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1831	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1842	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1866	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1871	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1883	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1886	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1889	1	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1890	1	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1904	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1905	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1912	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1914	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1926	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1927	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1929	1	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1931	2	210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1935	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1939	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1940	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1941	6	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1942	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1943	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1944	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1946	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1948	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1950	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1951	2	102	0	0	0	0	0	0	0	0	250000	0	0	0	0	0	0	
1952	2	46	0	0	0	0	800	800	0	0	4000000	0	0	0	0	0	0	
