Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1986	19	6	1	0	236	0	1191	0	0	0	180000	0	0	0	0	0	0	
1987	5	0	0	0	15	0	76	650	0	0	20010000	0	0	0	0	0	0	
1988	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1989	3	1	0	0	160	0	800	0	0	0	0	0	0	0	0	0	0	
1990	12	0	8	0	64	17	271	87	0	0	1103000	0	0	0	0	0	0	
1991	20	2	6	0	119	0	2140	210	0	0	151003	3	0	0	0	0	0	
1992	49	0	39	0	232	13	1733	628	0	0	490000	0	1	0	0	0	0	
1993	38	13	29	0	154	8	845	290	0	0	152000	0	1	0	0	0	0	
1994	34	3	12	0	183	4	1844	40	0	125	0	100000	0	0	400	0	0	
1995	25	11	10	0	61	17	620	1071	255	125	20000	2000	0	1	50	0	0	
1996	51	1	10	0	475	183	3359	328	0	0	0	1788000	0	0	0	0	0	
1997	74	3	6	0	240	90	1147	500	0	0	6500	940000	0	0	0	0	0	
1998	96	3	7	0	112	68	622	314	0	0	404673	263673	0	0	0	0	0	
1999	60	4	11	0	164	41	803	135	7	1	0	0	0	0	0	0	0	
2000	48	6	23	0	50	50	497	98	270	110	3000	3000	0	0	0	0	0	
2001	25	0	5	0	155	33	281	95	7	421	0	0	0	0	0	0	7	
2002	30	2	3	0	29	71	864	359	0	160	0	0	0	0	0	0	0	
2003	14	1	7	0	21	10	347	145	0	0	0	0	0	0	0	0	0	
2004	33	4	6	0	131	55	521	218	0	0	0	0	0	0	0	0	0	
2005	21	0	61	0	181	14	785	55	0	0	0	0	0	0	0	0	0	
2007	24	0	37	0	316	62	1581	337	0	0	0	0	0	0	0	0	0	
2008	62	8	14	0	376	96	2331	169	0	318	0	0	0	0	0	0	0	
2009	25	8	2	0	75	28	399	114	0	8	20000000	0	0	0	0	0	0	
2010	9	4	3	0	20	43	104	225	0	0	0	0	0	0	0	0	0	
2011	21	4	3	1	57	13	380	26	0	0	0	0	0	0	0	0	0	
2012	18	1	0	0	16	2	86	10	33	28	0	0	0	0	0	0	0	
2013	13	0	0	0	40	3	187	18	0	0	0	0	0	0	0	0	0	
2014	37	9	10	0	51	81	416	345	0	9	0	12000	0	0	0	0	0	
2015	46	1	6	0	9	54	21	201	3	8	0	0	0	0	0	0	0	
2016	19	0	0	0	8	63	9	290	0	0	0	0	0	0	0	0	0	
2017	4	0	0	0	2	2	8	6	0	0	0	0	0	0	0	0	0	
2018	26	0	5	0	4	50	0	268	0	0	0	0	0	0	0	0	1	
2019	10	0	0	0	12	8	53	24	0	0	0	0	0	0	0	0	0	
2020	3	0	0	0	0	2	0	10	0	0	0	0	0	0	0	0	0	
