Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1986	1	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	
1988	2	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	
1989	1	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	
1990	3	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	
1991	1	0	0	2	0	0	0	45	0	0	0	0	0	0	0	0	0	
1992	6	2	2	0	0	0	0	66	0	0	0	0	0	0	0	0	0	
1993	9	6	0	1	0	0	0	75	0	0	0	0	0	0	0	0	0	
1994	4	2	16	2	0	0	0	71	0	0	0	0	0	0	0	0	0	
1995	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1996	7	15	0	2	0	0	0	74	0	0	0	0	0	0	0	2	0	
1997	11	11	0	1	0	0	0	61	0	0	0	0	0	0	0	0	0	
1998	12	10	1	2	0	0	0	40	0	0	0	0	0	0	0	0	0	
1999	7	2	1	1	0	0	0	31	0	0	0	0	0	0	0	0	0	
2001	5	10	0	6	0	0	0	35	0	0	0	0	0	0	0	0	0	
2002	7	3	3	2	0	0	0	26	0	0	0	0	0	0	0	0	0	
2004	3	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	
2007	7	1	2	1	0	0	0	23	0	0	0	0	0	0	0	0	0	
2008	4	2	0	1	0	0	0	7	0	2	0	0	0	0	0	0	0	
2009	5	4	0	14	0	0	0	42	0	16	0	0	0	0	0	0	0	
2012	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	
2014	2	1	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	
2015	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2016	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2018	3	1	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	
