Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1981	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1982	6	0	0	0	0	70	1756	0	0	0	0	0	0	0	0	0	0	
1983	8	0	0	0	7	6044	28034	2700	0	2000	0	0	2	0	0	0	0	
1984	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1985	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1986	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1988	11	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	
1989	6	0	0	0	0	0	0	0	110	100	0	0	0	0	0	0	0	
1990	10	0	0	0	0	0	0	1000	0	0	0	0	0	0	0	0	0	
1991	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1992	40	0	0	0	0	500	54875	0	0	0	0	0	31	0	0	0	0	
1993	7	0	0	0	0	0	0	300	0	80	0	0	0	0	0	0	0	
1994	22	0	0	0	150	132	2900	17600	0	1500	20000000	0	0	0	10000	1000	80	
1995	9	0	0	0	0	0	400	1500	0	200	0	0	0	0	0	0	0	
1996	4	0	0	0	0	0	0	1500	0	0	0	0	0	0	0	0	0	
1997	45	52	0	0	1782	7991	7573	104088	679	30959	0	0	0	0	0	0	0	
1998	12	5	0	0	84	1360	23320	3325	0	500	0	0	0	0	5500	0	0	
1999	4	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	
2001	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2002	7	0	0	0	0	115	450	1050	0	600	0	0	0	0	3	0	0	
2003	2	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	
2004	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2005	6	0	0	0	0	20	0	0	100	0	0	0	0	0	0	0	0	
2006	6	0	0	0	0	0	0	2385	0	1000	0	0	0	0	0	0	0	
2007	18	0	0	0	3	6016	4750	69820	0	410	0	0	0	0	80000	0	200	
2008	34	20	0	0	5	60	1899	11251	0	0	0	0	0	0	0	0	0	
2009	4	0	0	0	0	125	0	600	0	0	0	0	0	0	0	0	0	
2010	36	2	0	1	1	3941	9000	5600	0	0	0	0	0	0	0	0	0	
2011	30	4	0	0	0	116	1350	325	0	0	0	0	0	0	0	0	0	
2012	10	10	0	0	0	200	4430	575	80	310	0	0	0	1	0	0	0	
2013	28	0	0	0	0	8350	2650	38135	50	6525	0	0	0	0	0	1000	0	
2014	45	1	5	0	0	26286	122945	33320	0	150	0	0	0	0	0	0	0	
2015	54	0	0	0	12	35	10805	460	0	66873	0	0	0	1	0	90	0	
2016	20	0	0	0	0	2	695	967	0	0	0	120000000	0	0	0	0	0	
