Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1981	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1983	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1985	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1987	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1988	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1989	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1990	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1991	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1994	12	2	3	0	0	0	0	0	0	0	0	0	0	0	13200	0	0	
1996	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1997	4	3	0	0	1	30	47	0	0	0	0	0	0	0	0	0	0	
1998	5	0	0	0	0	0	0	15000	0	0	0	0	0	0	0	0	0	
2000	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2002	2	0	3	0	1	50	150	0	0	0	0	0	0	0	1075	0	0	
2004	20	0	0	0	0	0	0	0	0	0	12000	60000000	0	0	14	0	0	
2005	2	0	0	0	0	0	0	0	0	0	0	0	0	0	30000	0	0	
2006	3	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	
2007	13	0	0	0	3	75	0	1744	0	0	0	0	0	0	0	0	0	
2008	4	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2009	109	0	0	0	0	0	9299	3362	0	0	200000	0	1	0	16000	0	0	
2010	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2011	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2012	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2013	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2014	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2015	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2016	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
