Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1970	16	9	9	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
1972	20	17	0	0	0	0	5	0	0	0	0	0	0	0	0	6	0	
1973	5	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1974	10	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1975	17	30	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	
1976	11	12	0	0	1	0	0	0	0	0	1500	0	0	0	0	0	0	
1977	15	18	7	0	0	0	0	0	0	0	1772	20000000	0	0	0	0	0	
1978	9	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1979	9	36	1	0	0	1	0	0	0	0	0	0	0	0	0	9	0	
1980	4	4	0	0	0	120	0	0	0	0	0	0	0	0	0	0	0	
1981	10	24	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
1984	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1985	5	7	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	
1986	5	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	
1987	7	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
1988	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1989	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1991	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1992	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1993	5	3	0	0	12	20	160	0	0	0	18000	0	0	0	0	0	0	
1995	4	5	0	0	0	51	0	0	0	0	4000	0	0	0	0	0	0	
1997	3	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	
1998	18	13	1	0	1	21	100	0	0	0	1500	0	0	0	0	0	0	
1999	8	8	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	
2000	7	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2001	15	11	0	0	15	135	800	0	0	0	0	0	0	0	80	4	0	
2002	6	4	0	0	40	35	0	0	0	0	0	0	0	0	0	0	0	
2003	3	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2004	10	9	6	0	0	0	0	0	0	0	0	0	0	0	0	241	0	
2005	8	14	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2006	10	10	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2007	9	10	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2008	3	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2009	4	7	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2010	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2011	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2012	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2013	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
