Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1970	127	2	0	2	212	373	1930	37000	0	200	5294752.02	192800000	2	1	3924	0	702	
1971	66	5	0	0	48	830	4250	1450	0	0	1923774	77450000	0	0	9150	0	4810	
1972	289	25	0	18	1032	20245	17481	7455	0	40	27163099.56	968360000	4	3	147315	0	25106	
1973	141	1	0	6	365	90	6721	10007	0	1000	6965886.03	239029000	1	0	14728	25	2800	
1974	36	5	0	2	15	3	0	6000	0	0	0	0	0	0	115	1000	90	
1975	56	2	0	0	465	233	10166	0	0	0	1734447	33995900	3	0	4056	0	145	
1976	16	0	0	0	0	40	0	198	0	0	444444.4	20000000	0	0	22	0	0	
1977	31	8	0	5	286	4	2645	0	40	2572	1159998.5	71000000	0	0	2318	0	7100	
1978	22	12	0	8	202	0	1676	18	0	0	971613.2	28000000	1	1	7820	200	0	
1979	37	3	0	8	10	28	465	21736	0	0	119307.5	31962000	0	0	2014	0	300	
1980	29	34	0	180	0	25	1200	13010	0	0	0	1000000000	0	0	15020	0	90000	
1981	175	13	0	52	2091	608	13240	30664	381	6	1758543	2378150000	0	1	62165	0	18500	
1982	119	337	0	5	653	2879	14153	7499	0	11219	3629582	1600000000	2	0	35350	0	33850	
1983	203	61	0	12	5128	52028	39844	7694	0	15417	40833429	20379000000	11	1	69014	36000	81068	
1984	136	2	0	2	231	489	23005	32000	0	0	5896405	15655100000	3	0	7450.9	200	34500	
1985	10	0	0	0	0	50	300	0	0	0	21551	150000000	0	0	60	0	0	
1986	44	0	0	0	45	40	25300	0	0	100	0	0	0	0	0	0	0	
1987	58	89	19	52	496	514	5060	892	0	0	225000	10004400000	0	1	2973	0	300	
1988	24	21	0	10	81	0	505	5015	0	0	180000	0	0	0	5850	0	300	
1989	38	75	0	100	200	30	2680	33700	0	0	300000	0	0	0	12614	100	20000	
1990	8	1	0	8	9	71	1610	0	0	0	0	0	0	0	35	0	0	
1991	43	12	0	26	30	79	760	30000	0	0	70000	0	0	0	1400	0	1590	
1992	17	3	0	0	185	10	8127	0	0	0	415500	0	0	0	20	0	0	
1993	112	13	0	1	1488	2718	310056	300	0	0	1271500	600000	492	2	297485	0	5120	
1994	267	43	0	18	3556	20435	463686	98211	0	300	39705167	59440000	58	0	192399	2535	8655	
1995	63	12	0	0	339	1936	9313	22959	0	0	427500	0	1	0	6706.3	0	35	
1996	64	23	0	9	687	4448	34845	2440	0	0	759545	0	25	18	21744	800	17300	
1997	165	7	6	11	1088	7069	82001	41947	0	245	1380100	40000000	85	1	51016	165470	30700	
1998	238	37	0	50	10501	56821	301214	19044	70	16566	60649000	0	26	1	40420	4095	45427	
1999	64	0	0	0	4921	153	32530	56075	0	0	0	9000000	2	0	8064	26	19710	
2000	62	2	0	1	146	1238	9395	2346	2160	1000	0	0	2	0	14140	0	34520	
2001	117	14	0	10	1993	9456	30856	9233	0	0	0	0	57	15	11580	523	24200	
2002	69	4	0	0	108	1400	7022	495	0	0	80000	0	33	1	5506	0	0	
2003	84	19	1	4	452	3332	2236	638	0	300	0	110000	2	0	5445	0	7095	
2004	49	2	0	1	51	271	9136	0	0	0	0	5000000	0	0	6000	0	800	
2005	8	5	0	0	54	204	310	0	0	0	0	0	1	0	50	0	2000	
2006	41	0	0	0	238	1999	3105	8062	0	0	0	3500000	1	0	10930	47	400	
2007	35	0	0	4	713	6871	2470	34260	3000	0	0	431596	1	2	11114	0	100	
2008	54	0	0	2	112	3501	2230	36843	0	0	0	0	0	0	5078	0	300	
2009	26	0	0	1	824	46	500	72075	1500	0	0	0	0	0	722	0	0	
2010	71	14	0	0	616	1808	120	86300	0	2264	0	0	0	0	7886	106214	31700	
2011	36	0	0	2	232	563	1420	5833	0	1650	0	0	1	0	290	0	100	
2012	67	12	46	1	3314	10084	18244	140010	0	0	10000	0	420	9	49940.3	16960	30300	
2013	91	9	10	15	245	3794	117405	104712	0	0	0	0	1	0	700	0	31160	
