Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1970	19	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1971	12	0	0	0	0	0	0	0	0	0	12920	500000	0	0	0	0	0	
1972	8	0	0	0	0	0	0	0	0	0	77519.37	3000000	0	0	600	0	0	
1973	18	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1974	9	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1975	5	2	0	0	0	0	0	0	0	0	0	0	0	0	300	0	0	
1976	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1977	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1978	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1979	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1981	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1982	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1983	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1984	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1985	5	6	699	0	0	0	0	40	0	0	0	0	0	0	0	0	0	
1986	15	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1987	8	7	0	0	0	0	0	0	0	0	0	500000	0	0	11525	0	0	
1988	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1989	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1990	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1991	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1992	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	500	0	
1993	4	2	0	0	0	0	360	0	0	0	0	0	0	0	763	50	0	
1994	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1995	13	61	109	0	10	110	526	350	0	0	15000	0	0	0	265	0	0	
1996	26	276	376	0	0	0	0	16484	0	0	0	0	0	0	2572	0	0	
1997	36	40	0	0	0	0	1350	0	0	0	0	0	0	0	3502	0	0	
1998	66	28	235	0	0	0	0	100	0	0	0	8000000	0	0	1508	0	0	
1999	28	0	0	0	0	0	0	0	0	0	0	0	0	0	300	0	0	
2000	48	16	0	0	0	0	0	12847	0	0	0	0	0	0	41084	0	0	
2001	19	103	0	0	0	0	0	12397	0	0	0	0	0	0	75	0	0	
2002	21	15	0	0	0	0	0	0	0	0	0	4000000	0	0	14253	0	0	
2003	85	41	42353	0	0	0	0	15898	0	0	0	0	0	0	20	0	0	
2004	120	8	0	0	0	324	850	177786	0	0	0	17511048.67	0	0	42383	1700	0	
2005	2	0	0	0	0	0	0	0	0	0	0	0	0	0	236	0	0	
2006	12	35	0	0	0	0	0	0	0	0	0	0	0	0	0	30000	0	
2007	41	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2008	6	0	0	0	0	0	0	0	0	0	0	5000000	0	0	5481	0	0	
2009	16	2	0	0	0	0	120	10703	0	0	0	0	0	0	0	0	0	
2010	24	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2012	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1100	0	
2013	4	61	59471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
