Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1970	84	0	0	0	0	0	6	0	0	0	13333331.51	516000000	0	0	11500	20000	0	
1971	26	0	0	0	0	0	0	0	0	0	0	0	0	0	3000	0	0	
1972	34	0	0	0	0	0	0	0	0	0	2790697.68	1108000000	0	0	0	0	0	
1973	41	0	0	0	0	0	0	0	0	0	516800	20000000	0	0	100	0	0	
1974	15	0	0	0	0	0	0	0	0	0	413436.7	16000000	0	0	0	0	0	
1975	22	0	0	0	0	0	0	0	0	0	0	16000000	0	0	0	0	0	
1976	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1977	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1978	7	0	0	0	0	0	0	0	0	0	0	5000000	0	0	0	0	0	
1979	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1980	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1981	40	0	0	0	0	0	0	0	0	0	0	0	0	0	626	0	0	
1982	26	0	0	0	0	0	0	1	0	0	0	0	0	0	9000	0	0	
1983	21	1	0	0	0	0	0	0	0	0	0	0	0	0	188	0	0	
1984	20	0	0	0	0	0	0	300	0	0	0	2030000000	0	0	800	0	0	
1985	12	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1986	11	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	
1987	22	0	0	0	0	0	0	105	0	0	0	0	0	0	61	0	0	
1988	6	0	0	0	0	0	0	0	0	0	0	0	0	0	2000	0	0	
1989	12	0	0	0	0	0	0	0	0	0	0	0	0	0	2000	0	0	
1990	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1993	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1994	20	0	0	0	0	0	0	200	0	0	0	0	0	0	23612	0	0	
1995	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1997	25	0	0	0	0	0	700	0	0	0	0	0	0	0	7600	0	0	
1998	10	0	0	0	0	0	900	0	0	0	0	0	0	0	700	0	0	
2000	78	0	0	0	0	0	0	1150	0	0	0	0	0	0	22580	0	0	
2001	16	1	0	2	0	0	0	2	0	0	0	0	0	0	0	120	0	
2002	14	16	0	0	0	0	0	1	0	0	0	0	0	0	800	0	0	
2003	2	0	3	0	0	0	0	0	0	0	300000	0	0	0	2500	0	0	
2004	6	0	0	0	0	0	0	0	0	0	0	0	0	0	600	0	0	
2005	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1000	0	0	
2007	3	0	0	0	0	0	0	0	0	0	0	122000	0	0	21.7	0	0	
2008	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1000	0	0	
2009	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2010	15	13	0	0	0	0	0	14	0	0	0	0	0	0	2660	0	0	
2011	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
