Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
2002	9	12	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	
2003	1	0	0	0	0	0	0	130	0	0	0	0	0	0	0	0	0	
2004	5	0	0	0	0	0	0	89	0	0	0	0	0	0	0	0	0	
2005	20	18	0	0	0	0	0	6436	0	0	0	0	0	0	0	0	0	
2006	4	0	0	0	0	0	0	4243	0	0	0	0	0	0	0	0	0	
2007	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2009	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
2011	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	
2012	4	3	0	0	0	0	0	110	0	0	0	0	0	0	0	0	0	
2014	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
