Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
2001	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2002	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2004	136	20	366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2005	1234	31	1742	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2006	620	13	767	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
2007	305	39	554	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
2008	98	19	148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2009	515	27	753	0	0	0	0	0	0	0	0	0	0	0	43	0	0	
2010	337	65	629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2011	687	84	1032	0	0	0	2	0	0	0	0	0	0	0	0	0	0	
2012	96	165	475	0	4	0	0	0	0	0	0	0	0	0	0	2	0	
2013	110	252	601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2014	136	189	704	0	0	0	0	0	0	0	0	0	0	0	0	14	0	
2015	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
