Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
2001	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2002	2	1868	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2006	1	5	3	22	0	0	0	0	0	0	0	0	0	0	0	0	0	
2007	2	8	2	0	0	0	0	0	0	0	18461	0	0	0	0	0	0	
2008	2	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2009	4	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2010	6	96	13	2	0	0	0	0	0	0	0	0	0	0	0	0	0	
2011	3	7	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	
2012	1	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	
2013	13	59	55	3	0	0	0	0	0	84	11680	0	0	0	0	0	0	
2014	8	15	2	1	0	0	0	0	0	9	0	0	0	0	0	0	0	
