Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1980	2	0	0	0	0	3	0	0	0	0	0	15000	0	0	0	0	0	
1981	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
1985	1	3	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	
1987	2	2	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	
1990	2	0	0	0	1	5	0	3	0	0	0	15000	0	0	0	0	0	
1991	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1992	1	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	
1997	11	0	0	0	0	50	0	1	0	0	0	777943	0	0	0	0	0	
1998	3	0	0	0	0	5	0	0	0	0	0	33500	0	0	0	0	0	
2001	2	0	0	0	0	1	0	0	0	0	0	201000	0	0	0	0	0	
2002	2	0	0	0	0	2	0	0	0	0	0	13000	0	0	0	0	0	
2003	1	0	0	0	0	1	0	0	0	0	0	5000	0	0	0	0	0	
2004	4	0	0	0	0	4	0	1	5	5	0	6312	0	0	0	0	0	
2005	2	0	0	0	0	2	0	0	0	0	0	79000	0	0	0	0	0	
2006	5	0	0	0	0	6	0	0	0	0	0	62340	0	0	0	0	0	
2007	4	0	0	0	0	4	0	0	0	0	0	250000	0	0	0	0	0	
2008	4	0	0	0	2	4	0	0	0	5	0	0	0	0	0	0	0	
2009	3	0	0	0	2	2	0	0	0	0	0	3500	0	0	0	0	0	
2010	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	
2011	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	
2012	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	
2013	30	0	2	0	1	222	0	612	1	28	0	2850000	0	0	0	0	155	
2014	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	35	
