Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1982	1	0	0	0	32	0	0	152	152	0	0	0	0	0	0	0	0	
2002	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	
2003	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
2004	1	0	0	0	1	0	0	4	0	0	2365	0	0	0	0	0	0	
2005	2	0	25	0	0	1	0	67	0	0	0	0	1	0	0	0	0	
2006	3	0	0	0	0	0	45	156	0	0	0	0	0	0	0	0	0	
2007	8	0	15	0	0	9	0	209	9	0	0	0	0	0	0.5	0	0	
2008	26	0	0	0	8	76	32	713	0	0	14798	0	1	0	5	0	0	
2009	15	82	0	0	11	0	29	292	0	0	2711	0	7	0	4	0	0	
2010	17	150	0	0	86	25	0	2134	0	0	49672	0	2	0	0	0	0	
2011	23	200	2	0	22	19	0	2318	0	0	28866	0	4	0	12	0	0	
2012	27	0	0	0	30	5	106	607	0	14	25149.6	0	1	0	2	0	0	
2013	24	4	2	0	71	15	0	1151	19	2	31281	0	0	0	0	0	0	
2014	46	30	6	0	32	61	5	542	51	3	100856.37	0	1	0	21	0	0	
