Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1899	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2000	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2001	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2002	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2004	16	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	
2005	34	0	0	0	0	0	0	129	5	0	0	0	0	0	0	0	0	
2006	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2007	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2008	35	1	0	0	0	0	0	0	0	0	0	0	20000	0	0	0	0	
2010	409	1	0	0	0	0	0	93	0	0	0	0	0	0	0	0	0	
2012	112	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	
2013	337	0	0	0	0	0	0	385	0	0	0	0	0	0	0	0	0	
2014	68	0	0	0	0	0	0	131	0	0	0	0	0	0	0	0	0	
