Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1966	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1967	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1969	2	0	0	0	0	1	0	0	0	0	3000	6000	0	0	0	0	0	
1973	3	98	1880	0	0	0	0	0	0	0	350000	700000	0	0	0	0	0	
1975	4	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	
1976	3	5	0	0	0	0	5	5	0	0	60000	150000	0	0	0	0	0	
1977	1	0	13	0	0	2	13	13	0	0	0	0	0	0	0	0	0	
1978	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1983	4	2	3	0	0	0	0	0	0	0	0	2.8	0	0	0	0	0	
1984	2	10	0	3	0	0	2	0	0	0	0	0	0	0	0	0	0	
1985	4	10	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	
1988	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1990	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1991	2	0	0	0	0	16	0	25	0	0	0	0	0	0	0	0	0	
1999	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
