Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1933	2	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1989	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1991	2	1	2	0	0	300	0	0	0	0	0	0	0	0	0	0	0	
1992	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
1993	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1994	5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1995	6	9	0	0	0	0	0	0	161	0	0	0	0	0	0	930	0	
1996	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1997	5	8	0	0	0	31	0	100	0	0	0	0	0	0	0	0	0	
1998	13	12	2	0	66	251	0	111	6	0	0	0	0	0	679	0	0	
1999	9	13	4	0	80	5	0	1	0	0	0	0	0	0	0	0	0	
2000	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2001	9	33	333	0	0	60	0	100	880	0	0	0	0	0	0	0	0	
2002	27	105	63	0	10	0	0	38081	0	20	0	0	0	0	3937.77	0	5000	
2003	4	4	0	0	117	200	0	3522	227	0	0	0	0	0	300	159	0	
2004	11	9	0	0	10	1	0	13567	0	0	0	0	1	0	423	0	0	
2005	10	11	8	0	8	300	0	2000	2149	0	0	0	0	0	0	0	0	
2006	30	23	0	7	20	300	0	53816	0	200	0	0	1	0	0	7	40	
2007	144	29	1	0	12914	52	1612	3021015	300350	40000	0	0	150	0	6295	39	20	
2008	38	0	0	0	708	936	0	992	87	0	0	0	0	1	2410	0	0	
2009	23	5	0	0	0	0	0	32268	0	0	0	0	1	0	0	0	0	
2010	200	34	114	12	2628	14	215	102076	17	3123	0	0	31	0	6433.31	0	87800	
2011	144	51	39	0	3540	374	0	122458	300	103	0	0	46	0	15873.33	73	163000.9	
2012	137	24	3	0	291	12230	0	162449	0	150	0	0	7	0	65	3	0	
2013	157	18	3	4	1755	1	0	34582	7020	600	0	0	4	1	3586	0	0	
2014	60	13	2	0	266	0	0	26424	0	0	0	0	16	0	1000	0	0	
2015	38	4	2	0	0	0	0	5017	0	0	0	0	0	0	5524	0	0	
2016	38	7	0	0	848	1136	0	13757	0	0	0	0	22	1	9024	0	0	
2017	93	9	0	0	4458	14011	0	231119	37	22	0	0	15	0	13119	0	0	
2018	113	7	2	4	7476	61	0	277320	20147	18226	0	0	240	132	11034.25	110	0	
