Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
2000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2001	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2002	1	0	0	0	0	0	0	0	0	400	0	0	0	0	0	0	0	
2003	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2004	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
2005	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2006	3	0	18	0	0	1	0	0	0	0	0	0	2	0	0	0	0	
2007	15	0	0	0	0	0	0	54500	0	0	0	0	0	0	0	0	0	
2008	2	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	
2009	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
2010	6	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	1	
2011	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2013	4	0	0	0	0	0	0	1040	0	0	0	0	0	0	0	0	0	
2014	6	3	0	0	0	0	0	69128	0	0	0	0	7	0	16444	0	0	
2015	11	0	23	0	317	86	0	9144	0	0	0	0	15	0	12	0	0	
2016	5	0	0	0	0	2	0	7368	0	0	0	0	0	0	0	0	0	
2017	2	0	0	0	0	0	0	460	0	0	0	0	0	0	0	0	0	
