Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1990	5	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1991	20	0	0	0	0	0	0	0	0	0	13400000	0	1	0	0	0	0	
1992	40	6	8	0	6	4	0	4	0	0	320	35	0	0	0	0	0	
1993	9	8	0	0	0	0	0	0	0	0	20000	400000	0	0	0	0	0	
1994	82	20	22	1	29	28	0	738	0	0	501	9	4	1	0	0	0	
1995	20	2	3	0	2	4	0	18	0	0	50000	0	0	0	0	0	0	
1996	23	2	15	0	3	0	0	0	0	0	4200	0	0	0	0	0	0	
1997	12	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	200	
1998	34	11	1	0	10	46	0	10	0	28	0	0	0	0	0	0	0	
1999	20	16	11	0	6	1	0	0	0	0	0	0	0	0	5	0	0	
2007	5	2	1	0	0	5	0	9	0	0	0	0	0	0	10	0	0	
2008	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2009	7	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
2010	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2011	20	10	2	0	0	10	0	62	0	0	0	0	0	0	1	0	0	
