Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1984	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1985	2	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1986	2	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1987	4	3	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1988	12	6	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1989	4	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1990	10	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1991	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1992	31	4	8	0	0	0	0	492216	0	0	0	0	0	1	0	0	2400	
1993	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	
1994	40	8	3	0	0	1	3	263	0	0	0	0	0	0	8	0	0	
1995	2	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1996	6	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1997	11	1	0	0	0	0	0	0	0	0	60000	1200000	0	0	1200	14	0	
1998	22	8	22	0	0	0	4	189	0	200	0	0	1	0	0	0	0	
1999	11	2	5	0	0	0	300	0	0	0	0	0	0	0	0	0	0	
2000	10	4	12	0	0	20	60	0	0	0	5	0	0	0	0	0	0	
2001	4	0	13	0	0	120	0	0	0	360	0	0	0	0	0	0	0	
2002	2	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2003	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2004	11	3	61	0	0	0	5	0	0	0	0	0	0	0	0	0	0	
2005	3	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	
2006	1	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2007	10	0	7	0	0	4	0	0	0	12	0	0	0	0	0	0	0	
2008	1	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2009	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2010	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2011	7	5	10	0	0	10	30	10	0	0	0	0	0	0	0	0	2000	
2013	9	3	7	0	0	200	450	0	0	0	0	0	0	0	0	0	0	
