Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1984	12	12	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1985	5	1	12	0	0	0	0	0	0	0	0	0	0	0	0	4	0	
1986	13	12	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
1987	15	12	1	1	0	0	0	0	0	0	0	0	0	0	0	2	0	
1988	13	14	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1989	12	8	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1990	18	17	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1991	15	9	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1992	18	10	17	0	0	0	0	0	0	0	0	0	0	0	0	2	0	
1993	16	8	15	0	0	0	0	0	0	0	0	0	0	0	0	16	0	
1994	9	5	4	0	0	0	0	0	0	0	0	0	0	0	0	20	0	
1995	12	12	3	1	0	46	0	0	0	0	0	0	0	0	0	0	0	
1996	22	15	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1997	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1998	10	6	2	0	0	7	0	0	0	0	0	0	0	0	0	1	0	
1999	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2001	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2002	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2003	24	21	5	3	0	2	0	0	0	0	0	0	0	0	0	25	0	
2004	6	5	0	1	4	0	0	0	0	0	0	0	0	0	0	18	0	
2005	36	37	9	6	0	20	0	0	0	0	0	0	0	0	0	3	0	
2006	16	15	0	11	0	0	0	0	0	0	0	0	0	0	0	10	0	
2007	76	43	49	3	0	0	0	0	0	0	0	0	0	0	0	4	0	
2015	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
