Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1984	31	49	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1985	25	68	148	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
1986	59	143	194	1	0	0	0	0	0	0	0	60000	0	0	0	0	0	
1987	52	50	216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1988	37	106	270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1989	61	36	116	35	0	0	0	0	0	0	0	0	0	0	0	0	0	
1990	77	129	167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1991	67	81	227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1992	60	42	219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1993	61	41	150	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
1994	71	68	245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1995	102	85	273	3	0	1	0	0	0	0	0	0	0	0	0	0	0	
1996	89	91	220	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
1997	29	40	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1998	83	113	327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1999	15	19	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2000	18	71	90	0	0	3	0	0	0	0	0	0	0	0	0	0	0	
2001	34	73	131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2002	38	93	121	13	1	0	0	0	0	0	0	0	0	0	0	0	0	
2003	59	69	171	0	0	5	0	0	0	0	0	0	0	0	0	1	0	
2004	36	242	205	11	1	0	0	0	0	0	0	0	0	0	0	17	0	
2005	74	198	407	5	0	0	0	0	0	0	0	0	0	0	0	1	0	
2006	8	7	33	8	0	0	0	0	0	0	0	0	0	0	0	0	0	
2007	157	224	709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2008	1	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	
2009	2	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	0	
2014	1	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	
2015	3	3	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2016	18	30	153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
