Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1973	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1977	1	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1978	1	0	0	0	0	0	0	0	0	0	0	2000000	0	0	0	0	0	
1980	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	300	0	
1983	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1988	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1989	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2003	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2004	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2005	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2006	6	0	0	0	0	0	0	15000	0	0	0	0	0	0	0	0	0	
2007	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2010	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
