Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1573	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1578	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1580	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1585	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1598	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1599	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1621	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1624	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1626	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1638	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1661	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1664	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1668	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1693	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1694	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1724	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1726	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1732	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1733	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1742	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1743	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1759	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1762	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1763	1	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1764	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1970	10	16	0	0	0	0	0	0	0	0	0	0	0	0	0	190	0	
1973	3	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1977	4	79	0	0	0	0	0	0	0	0	0	0	0	0	0	30004	0	
1978	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1979	3	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1980	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	
1981	1	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1984	9	3	0	0	0	0	0	0	0	0	0	0	0	0	0	7000	0	
1987	1	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1989	9	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1990	4	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1991	4	5	0	0	0	0	0	5	0	0	0	0	0	1	0	0	0	
1992	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1993	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1994	1	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1997	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1998	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1999	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2000	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2002	23	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2003	4	10	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	
2004	9	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2005	22	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2006	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2007	7	0	0	0	0	24540	0	0	0	0	0	0	0	0	0	0	0	
