Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1579	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1970	19	2	0	0	1	2	0	23	0	0	0	8696000	0	0	0	0	0	
1971	14	1	0	0	7	0	36	0	0	0	0	3772000	0	0	0	0	0	
1972	12	0	0	0	1	0	0	0	0	0	0	9180500	0	0	0	0	0	
1973	46	2	0	0	2	19	53	15	0	0	0	50650000	0	0	0	0	0	
1974	25	1	0	0	3	13	0	0	0	80	0	100680000	0	0	0	0	0	
1975	25	3	0	0	44	5	194	0	0	0	0	22510000	0	0	0	0	0	
1976	34	9	0	0	25	12	0	11	0	0	0	170758600	0	1	0	0	0	
1977	24	8	0	0	4	5	0	0	0	0	0	14580000	0	0	26300	0	0	
1978	17	4	0	0	36	0	273	0	0	0	0	54450000	0	0	0	0	0	
1979	32	13	0	0	7	1	0	0	0	0	0	61050000	0	0	0	0	0	
1980	29	11	0	0	14	0	0	0	0	0	0	60050000	0	1	5	0	0	
1981	18	1	0	0	20	0	225	0	0	0	0	41500000	0	0	0	0	0	
1982	23	5	0	0	3	0	0	0	0	0	0	229500000	0	1	0	0	0	
1983	4	0	0	0	0	0	0	0	0	0	0	1600000	0	0	0	0	0	
1984	38	7	0	0	50	35	300	0	0	2	0	193500000	0	0	0	0	0	
1985	19	1	0	0	1	0	0	0	0	2000	0	67500000	0	0	0	0	0	
1986	15	16	0	0	0	0	0	0	0	0	0	74120000	0	0	0	0	0	
1987	5	0	0	0	0	0	0	0	0	0	0	12600000	0	0	0	0	0	
1988	10	0	0	0	0	1	0	0	0	0	0	54000000	0	0	0	0	0	
1989	8	4	0	0	0	0	0	0	0	0	0	187000000	0	0	0	0	0	
1990	23	14	0	0	11	1	0	0	275	1100	0	178700000	0	1	0	0	0	
1991	16	48	0	0	1	0	0	0	0	45	0	1227000000	0	0	132	0	0	
1992	10	2	0	0	0	0	0	0	0	0	0	41000000	0	0	200	0	0	
1993	22	35	0	0	14	0	0	0	0	0	0	1208500000	0	0	0	0	0	
1994	10	2	0	0	7	0	0	0	0	0	0	920400000	0	0	0	0	0	
1995	9	6	0	0	8	1	32	0	0	0	0	3100000000	0	0	0	0	0	
1996	15	9	0	0	1	3	0	0	0	100000	0	2305000000	0	0	0	0	0	
1997	5	1	0	0	0	0	0	350	0	0	0	1350000000	0	0	0	0	0	
1998	9	0	0	0	1	3	0	0	0	63	0	7231000000	0	0	0	0	0	
1999	8	2	0	0	1	2	0	0	0	5248	0	1700000000	0	0	0	0	0	
2000	6	6	0	0	1	1	0	0	0	0	0	1000000000	0	0	0	0	0	
2001	10	1	0	0	70	1	360	0	0	5	0	1270000000	0	0	0	0	0	
2002	7	3	0	0	0	0	0	326	0	3822	0	1300000000	0	0	0	0	0	
2003	12	5	0	0	1	0	0	0	0	73	0	0	0	0	0	0	0	
2004	15	4	0	0	4	8	0	0	0	712	250000000	700000000	0	0	0	0	0	
2005	25	25	0	8	1	1	0	450	0	506	0	1800000000	0	0	0	0	0	
2006	26	13	0	1	2	3	0	68	0	153	5800000	15200000000	0	0	0	0	0	
2007	52	13	0	0	1	4	0	0	0	3010	0	5620000000	1	0	0	0	0	
2008	17	11	10	0	15	5	0	341	0	1325	0	0	0	0	0	0	0	
2009	17	10	11	0	1	13	18	0	0	2051	0	12000000	0	0	3	0	0	
2010	12	0	1	0	3	1	0	8	0	400	0	0	0	0	0	0	0	
2011	4	3	8	0	5	400	17	0	0	10000	0	0	0	0	0	0	0	
2012	8	50	138	0	0	3406	0	0	0	0	1000000000	0	0	0	100	0	0	
2013	4	5	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
2014	58	20	32	0	8	1	19	13	4	240	0	0	0	0	1	0	0	
2015	54	9	17	0	6	3	8	1823	0	0	0	0	0	0	0	0	0	
