Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
201	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1949	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1951	1	1	12	0	5	5	18	18	0	0	0	0	0	0	0	0	0	
1964	2	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1970	17	11	0	0	109	2	2724	0	0	0	0	0	0	0	0	0	130	
1971	7	1	0	0	13	0	153	0	0	180	0	800000	0	0	0	0	0	
1972	11	6	0	0	84	0	0	0	0	0	0	0	0	0	0	0	0	
1973	13	12	0	15	13	100	1050	1836	0	0	0	0	0	0	0	0	100	
1974	15	7	0	0	34	162	1667	0	1350	750	0	0	0	0	0	0	0	
1975	32	24	0	0	96	13	4646	200	0	0	0	5050000	0	0	50000	0	0	
1976	33	18	0	3	289	59	1340	3355	0	95	0	0	1	0	150	0	0	
1977	21	13	0	0	22	23	89	0	0	0	0	0	0	0	0	0	0	
1978	25	13	0	0	15	1	79	0	0	207	0	0	0	0	0	0	0	
1979	49	19	0	9	191	69	3144	0	0	0	0	30000000	0	0	12	0	0	
1980	25	22	0	7	114	100	2585	0	0	690	0	0	0	0	0	0	0	
1981	28	75	0	16	146	1	4441	180	0	400	0	6000000	0	0	0	0	120000	
1982	15	20	0	0	32	103	230	0	0	0	0	0	0	0	0	0	0	
1983	7	2	0	0	67	0	287	0	0	0	0	0	0	0	0	0	0	
1984	18	17	0	0	21	4	8	0	405	405	0	0	0	0	0	0	0	
1985	29	19	0	2	116	31	1655	9	0	0	0	0	1	0	0	0	0	
1986	9	8	0	0	95	0	314	0	0	270	0	0	0	0	0	0	0	
1987	26	118	300	0	54	51	276	405	0	0	0	9000000	0	0	0	0	0	
1988	18	22	0	2	38	271	1202	68	0	0	0	0	0	0	0	0	50	
1989	15	10	0	0	14	543	369	54	0	153	0	1000000	2	0	0	0	0	
1990	27	6	0	2	203	84	797	0	279	35	0	4000000	0	0	0	0	15	
1991	9	3	0	3	5	0	79	0	0	0	0	0	1	0	0	0	0	
1992	9	7	0	0	50	106	511	0	0	0	0	0	0	0	0	0	0	
1993	10	7	0	0	88	30	1924	0	0	0	0	0	0	0	0	0	85	
1994	8	0	0	0	7	0	10	0	0	27	0	0	0	0	0	0	0	
1995	18	4	0	0	95	76	1015	191	0	45	0	0	0	0	0	0	0	
1996	24	10	0	0	20	231	5229	65645	0	1229	0	10000000	0	0	0	0	0	
1997	17	13	0	0	413	789	911	0	0	3	0	600	0	0	0	0	0	
1998	25	5	0	0	82	323	919	34978	0	0	0	0	0	0	0	0	10080	
1999	49	242	0	5	735	1194	1734	11934	0	154	0	0	0	1	0	0	500	
2000	16	0	0	0	192	54	582	472	0	658	0	0	0	0	0	0	100	
2001	25	6	0	0	109	366	1876	4643	0	12	0	0	0	0	0	0	0	
2002	10	0	0	0	316	12	1327	654	0	181	0	0	0	0	0	0	0	
2003	45	5	0	0	57	556	209	1729	0	584	0	0	0	0	0	0	300	
2004	45	10	0	12	91	184	807	1328	0	114	0	0	0	0	0	0	0	
2005	140	15	0	0	653	1200	1287	9723	450	1169	0	0	0	0	0	0	600	
2006	73	4	0	0	68	318	1316	11173	56	163	0	0	0	0	0	0	7500	
2007	65	5	0	0	137	439	199	85404	39	34	0	0	0	0	0	0	500	
2008	40	5	15	0	56	184	276	2069	0	36	0	0	0	0	0	0	40	
2009	15	3	4	0	24	107	112	35	0	39	0	0	0	0	0	0	140	
2010	69	12	2	0	94	767	320	354	1	3806	0	0	0	0	0	0	10.5	
2011	138	6	1	0	756	1055	618	8861	23	2417	0	0	0	0	0	0	400	
2012	85	5	5	0	17	169	43	521	0	80	0	0	0	0	1000	0	885	
2013	22	0	0	0	3	36	5	124	0	18	0	0	1	1	0	0	130	
2014	57	2	0	0	10	99	28	454	5	243	0	0	0	0	0	0	820	
2015	6	0	3	0	4	13	8	64	0	0	0	0	0	0	0	0	0	
