Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1991	2	33	14	9	372	928	0	2122	0	0	0	0	0	0	0	0	0	
1992	6	67	29	100	54	180	0	0	0	0	0	0	0	0	0	0	0	
1998	7	18	8	1	168	374	0	0	0	0	0	0	0	0	0	0	0	
1999	3	3	0	0	202	48	0	0	0	0	0	0	0	0	0	0	0	
2001	2	4	4	2	0	124	0	0	0	0	0	0	0	0	0	0	0	
2003	4	14	3	2	15	43	0	0	0	0	0	0	0	0	0	0	0	
2004	8	60	0	1	196	690	0	0	0	0	0	0	0	0	0	0	0	
2005	4	22	7	0	23	338	0	0	0	0	0	0	0	0	0	0	0	
2006	7	13	12	0	28	6191	0	0	0	0	0	0	0	0	0	0	0	
2007	11	23	3	2	64	191	0	0	0	0	0	0	0	0	0	0	0	
2008	6	31	22	0	63	85	0	0	0	0	0	0	0	0	0	0	0	
