
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1976	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	492	0	
1993	1	0	0	0	0	0	0	30000	0	0	0	0	0	0	0	0	0	
1996	2	0	0	0	0	0	37	0	37	0	0	0	0	0	0	0	0	
1998	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2002	2	2	0	0	0	0	1500	0	0	0	0	250000000	0	0	0	0	0	
2003	3	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2009	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2012	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2013	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
TOTAL	14	19	2				1537	30000	37			250000000				492		

