
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1988	1	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1994	1	0	341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1995	1	0	222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1996	1	0	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1997	1	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1998	1	0	156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1999	1	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2000	1	0	218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2001	1	0	195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2002	1	0	209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2003	1	0	243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2004	1	0	244	0	0	0	0	45346	0	0	0	0	0	0	0	0	0	
2005	1	0	210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2010	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	
2013	1	0	1249	0	0	0	1249	1249	0	0	0	0	0	0	0	0	0	
TOTAL	15		3619				1249	46595								50		

