
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Event	 DataCards	
ACCIDENT	118	
ALLUVION	182	
AVALANCHE	34	
BIOLOGICAL	59	
COASTLINE	4	
DROUGHT	680	
EARTHQUAKE	158	
ELECTRICSTORM	65	
EPIDEMIC	699	
EPIZOOTIA	62	
ERUPTION	85	
EXPLOSION	415	
FIRE	2136	
FLOOD	6997	
FOG	508	
FORESTFIRE	967	
FROST	370	
HAILSTORM	372	
HEATWAVE	275	
INTOXICACION	14	
LANDSLIDE	81	
LEAK	262	
OTHER	125	
PANIC	3	
PLAGUE	154	
POLLUTION	746	
RAIN	192	
SEDIMENTATION	2	
SNOWSTORM	981	
STORM	3117	
STRONGWIND	626	
STRUCTURE	945	
SURGE	6	
TORNADO	54	
TOTAL	21494	

