
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Event	 DataCards	
ACCIDENT	51	
ALLUVION	5	
AVALANCHE	17	
BIOLOGICAL	96	
DROUGHT	700	
EARTHQUAKE	209	
ELECTRICSTORM	54	
EPIDEMIC	3710	
ERUPTION	1	
EXPLOSION	4	
FIRE	207	
FLOOD	2655	
FOG	12	
FORESTFIRE	2261	
FROST	23	
HAILSTORM	7	
HEATWAVE	26	
HURRICANE	69	
LANDSLIDE	679	
LEAK	9	
LIQUEFACTION	10	
OTHER	41	
PANIC	5	
PLAGUE	498	
POLLUTION	484	
RAIN	763	
SEDIMENTATION	8	
SPATE	18	
STORM	30	
STRONGWIND	178	
STRUCTURE	303	
SURGE	42	
Tormenta Tropical	42	
TORNADO	6	
TSUNAMI	1	
TOTAL	13224	

