
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1980	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1981	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1982	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1984	5	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	
1985	3	0	0	0	0	0	0	0	0	0	0	2000000	0	0	0	500	0	
1986	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1987	11	0	0	0	0	0	1	27	0	0	0	0	0	0	0	0	0	
1988	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1991	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1992	7	0	0	0	0	0	0	0	0	0	0	0	0	0	500	0	0	
1993	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1994	5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	
1995	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1996	1	0	0	0	0	10	0	100	0	0	0	0	0	0	0	0	0	
1998	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2002	5	0	0	0	0	0	0	50	0	50	0	0	0	0	0	0	0	
2003	9	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	
2004	7	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	
2005	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2006	3	1	0	0	0	0	1	0	0	0	0	0	0	0	100	0	0	
2009	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
2012	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2013	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2014	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2021	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
TOTAL	91	2	2			16	2	177		51		2000000			608	502		

