
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1982	9	0	0	0	0	0	0	0	0	0	50495071.89	0	0	0	0	0	0	
1983	4	0	0	0	0	0	0	0	0	0	12637865.71	0	0	0	0	0	0	
1984	13	0	0	0	0	0	0	0	0	0	333849445.62	0	0	0	0	0	0	
1986	4	0	0	0	0	0	0	0	0	0	16222080.89	0	0	0	0	0	0	
1989	8	0	0	0	0	0	0	0	0	0	10465265.96	0	0	0	0	0	0	
1994	21	0	0	0	0	0	0	0	0	0	149213216.68	0	0	0	0	0	0	
1996	26	0	0	0	0	0	0	0	0	0	58015950.03	0	0	0	0	0	0	
1997	23	126	231	14	0	0	21062	21293	0	0	35466805.76	0	0	0	0	0	0	
2000	73	247	11	77	0	2967	24325	24336	7192	0	84977219.33	0	0	0	105764	94	0	
2001	17	9	0	0	0	420	3676	3676	580	0	0	0	0	0	172072	0	0	
2002	18	34	1	7	0	2121	22324	22325	266	0	74751467.06	0	0	0	0	0	0	
2003	6	70	86	19	0	7563	114480	114566	0	0	1772023.13	0	0	0	295	249	0	
2004	147	265	998	181	114545	0	294662	295660	0	0	71538413.71	0	0	0	61220	12910	0	
2005	24	35	0	260	0	7734	30273	30273	2841	0	23021846.72	0	4	0	6102	1746	0	
2006	27	13	2	6	0	384	26550	26552	558	0	14033041.82	0	26	11	1064.5	3589	0	
2007	70	151	128	30	58281	0	196346	196474	39400	0	112692636.6	0	0	0	63719	700	0	
2008	96	106	751	176	136744	0	344084	344835	111971	0	64482670.87	0	0	0	193307	919	0	
2009	18	1	0	0	0	0	0	0	0	0	3599495.38	0	0	0	3	130	0	
2010	35	97	174	34	23945	0	237974	238148	74088	0	0	0	0	0	56856	2176	0	
2011	45	20	64	7	7406	16545	100106	100170	24239	0	20315199.14	0	4	0	47935	0	3	
2012	88	114	299	3	45531	35994	332204	332507	0	0	39422484.59	0	534	84	27830	149	140	
2013	26	36	98	18	5338	36884	73660	73758	36310	0	0	0	154	27	44965	0	0	
2014	8	3	0	9	437	174	2141	2141	0	0	0	0	0	0	5629	23	0	
2015	60	86	68	9	6086	826	204449	204517	39691	0	0	0	387	9	50645	1209	0	
2017	56	81	253	18	40520	69655	437405	0	247219	0	0	0	460	34	28522	0	33.5	
2018	87	72	30	29	8739	23335	212200	0	74266	0	0	0	0	0	21498.34	0	0	
TOTAL	1009	1566	3194	897	447572	204602	2677921	2031231	658621		1176972200.89		1569	165	887426.84	23894	176.5	

