
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1975	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1977	2	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	
1979	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1985	1	6	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	
1988	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1991	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1994	1	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	
1998	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
1999	2	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	
2004	4	5	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	
2005	5	3	20	2	0	0	0	0	0	0	0	0	0	0	0	0	0	
2006	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
2008	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2009	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2010	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
TOTAL	27	23	22	34														

