
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1971	13	27	4	0	17	4	0	0	0	0	0	0	0	0	0	0	0	
1972	3	0	0	0	6	0	0	0	0	0	0	0	0	0	0	3	0	
1973	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1974	1	0	0	0	0	0	0	0	0	0	0	0	0	0	254	0	0	
1976	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
1977	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1978	10	2	0	0	275	0	0	0	0	0	0	0	0	0	0	0	900	
1979	3	0	0	0	10	0	0	545	0	0	0	0	0	0	0	0	0	
1980	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
1981	4	0	0	0	0	0	0	0	0	0	0	0	0	0	4064	0	0	
1982	4	0	0	0	0	0	0	572	0	0	0	30000	1	0	0	4506	0	
1983	1	1	0	0	0	0	0	0	0	0	0	157000	0	0	0	0	0	
1984	9	0	0	0	0	7	0	0	0	0	0	5025000	0	0	6	0	0	
1985	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1986	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1987	3	0	0	0	152	4	0	711	0	0	0	0	1	0	0	503	0	
1988	6	0	0	0	1	0	0	0	0	0	0	0	0	0	0	45	0	
1991	1	0	0	0	0	0	0	381	0	0	0	69	0	0	0	0	0	
1992	2	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	
1993	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1995	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1997	4	4	0	0	4	0	0	621	0	0	0	8000000	0	0	0	1	0	
1998	5	5	7	0	4	0	0	0	0	0	0	11700000	0	0	0	0	0	
1999	8	5	0	0	7	25	0	1350	0	0	0	229333000	0	0	0	0	0	
2000	9	13	3	0	0	18	0	1080	0	0	0	0	0	0	3	0	0	
2001	11	16	15	0	72	507	0	3240	0	65	0	10000000	0	0	0	0	0	
2002	8	0	0	0	4	6	0	0	0	0	0	0	0	0	0	26	0	
2003	28	2	0	3	50	122	0	50381	0	108	0	27000000	0	0	50568.2	0	202300	
2004	6	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	
2005	3	1	0	0	10	0	0	750	0	0	0	45000	0	0	0	0	0	
2006	11	6	4	0	2	18	0	0	0	0	0	0	0	0	0	6	0	
2007	16	0	0	0	5	16	0	100	0	0	0	36100000	0	0	0	0	0	
2008	3	2	0	0	0	141	0	515	0	0	0	20000000	1	0	0	0	0	
2009	10	2	3	0	45	12	0	314	1096	0	0	7298000	0	0	5	0	0	
2010	10	0	0	0	6	126	0	577	545	0	0	12900000	3	0	5	0	0	
2011	34	2	8	0	44	850	0	5784	2481	0	0	11785000	14	0	15315.4	84	0	
2012	10	1	0	0	15	401	0	2247	243	2	0	0	3	0	209	0	0	
2013	3	7	0	0	36	60	0	468	322	0	0	0	0	0	200	0	0	
TOTAL	256	96	44	3	791	2319		69636	4687	175		379373069	23		70629.6	5174	203200	

