
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1980	2	4	23	0	3	1	0	0	0	0	0	0	0	0	0	0	0	
1981	1	0	4	0	0	6	0	0	0	0	0	0	0	0	0	0	0	
1982	1	0	9	0	1	2	0	0	0	0	0	0	0	0	0	0	0	
1984	1	1	4	0	2	4	0	0	0	0	0	0	0	0	0	0	0	
1985	2	4	24	0	0	8	0	0	0	0	0	0	0	0	0	0	0	
1987	2	3	24	0	0	5	0	0	0	0	0	0	0	0	0	0	0	
1989	3	5	14	0	0	10	0	0	0	0	0	0	0	0	0	0	0	
1990	1	1	8	0	0	6	0	0	0	0	0	0	0	0	0	0	0	
1991	2	5	31	0	3	7	0	0	0	0	0	0	0	0	0	0	0	
1992	2	4	21	0	4	11	0	0	0	0	0	0	0	0	0	0	0	
1993	1	2	5	0	0	5	0	0	0	0	0	0	0	0	0	0	0	
1994	3	1	22	0	1	9	0	0	0	0	0	0	0	0	0	0	0	
1995	4	3	37	0	1	14	0	0	0	0	0	0	0	0	0	0	0	
1996	3	3	15	0	0	10	0	0	0	0	0	0	0	0	0	0	0	
1997	2	1	14	0	0	6	0	0	0	0	0	0	0	0	0	0	0	
1998	1	0	10	0	3	1	0	0	0	0	0	0	0	0	0	0	0	
1999	2	0	13	0	0	8	0	0	0	0	0	0	0	0	0	0	0	
2000	4	26	164	0	21	40	0	218646	0	0	0	0	0	0	0	0	0	
2001	5	174	165	0	93	531	0	568	0	0	0	0	7	1	0	0	15420	
2002	6	63	238	0	22	73	0	216	0	0	0	0	0	0	0	0	0	
2003	5	204	496	0	120	452	0	875050	0	0	0	0	7	1	0	0	15420	
2004	4	6	16	0	0	11	0	81	0	0	0	0	0	0	0	0	0	
2005	3	50	17	0	5	10	0	0	0	0	0	0	1	0	0	0	0	
2006	4	16	614	0	25	16	0	2305	0	0	0	0	3	1	0	13	0	
2007	8	40	117	0	16	70	0	102	0	0	0	0	9	3	0	30	0	
2008	8	117	147	0	90	114	0	1125	0	0	0	0	6	1	0	25	0	
2009	1	0	8	0	0	5	0	0	0	0	0	0	0	0	0	0	0	
2010	7	42	127	0	55	40	0	1424	0	0	0	0	4	1	0	17	0	
2011	1	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	
2012	2	0	6	0	0	3	0	0	0	0	0	0	0	0	0	0	0	
2014	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
TOTAL	92	775	2395		465	1478		1099525					37	8		85	30840	

