
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1981	2	5	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1982	4	4	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
1985	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
1986	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1987	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
1988	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1993	2	4	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
1997	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2005	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2009	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2010	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2012	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
TOTAL	18	18	9		2			2										

