
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1997	13	0	0	0	0	79	0	0	0	0	0	3293528	0	0	0	0	0	
1998	2	0	0	0	0	2	0	0	0	0	0	55700	0	0	0	0	0	
1999	1	0	0	0	0	1	0	0	0	0	0	94740	0	0	0	0	0	
2000	1	0	0	0	0	1	0	0	0	0	0	18000	0	0	0	0	0	
2001	3	0	0	0	0	3	0	0	0	0	0	129500	0	0	0	0	0	
2002	8	0	0	0	0	12	0	0	0	0	0	485824.5	0	0	0	0	0	
2003	15	0	0	0	0	34	0	0	0	0	15000	1306127	0	0	0	0	0	
2004	23	0	0	0	0	122	0	1	0	0	0	9743044.3	0	0	0	0	0	
2005	5	0	0	0	0	6	0	0	0	0	0	116000	0	0	0	0	0	
2006	19	0	0	0	0	23	0	0	0	0	0	660098	0	0	0	0	0	
2007	5	0	0	0	0	6	0	0	0	0	0	54917	0	0	0	0	0	
2008	4	0	0	0	0	5	0	2	0	0	0	23000	0	0	0	0	2	
2009	5	0	0	0	0	4	0	0	0	0	0	31500	0	0	0	0	1	
2010	3	0	0	0	0	2	0	0	0	0	0	70627	0	0	0	0	15	
2011	3	0	0	0	0	5	0	0	0	0	0	34794.95	0	0	0	0	0	
2013	1	0	0	0	0	10	0	0	0	0	0	14765	0	0	0	0	0	
TOTAL	111					315		3			15000	16132165.75					18	

