
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1995	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1996	3	0	0	0	0	0	0	5000	0	0	0	500000	0	0	6050	200	0	
1999	2	0	0	0	0	0	0	5000	0	0	0	100000	0	0	251	0	0	
2000	1	0	0	0	0	0	0	14000	0	0	0	4500000	0	0	0	0	0	
2004	1	0	0	0	0	0	0	2630	0	0	0	26770000	0	0	1591	0	0	
2005	3	0	0	0	0	0	0	451698	0	0	0	318633000	0	0	34225	7000	0	
2006	2	0	0	0	0	0	8000	0	0	0	0	6500000	0	0	1500	0	0	
2009	1	0	0	0	0	0	0	267	0	0	0	13800000	0	0	0	0	0	
TOTAL	27						8000	478595				370803000			43617	7200		

