
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1990	4	158	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1991	5	149	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1992	10	178	3	0	0	0	0	0	0	0	0	0	0	0	0	350	0	
1993	3	46	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1994	5	50	50	0	0	0	0	0	0	0	0	0	0	0	120	0	0	
1995	7	47	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1996	7	58	136	0	0	0	0	540	0	0	0	0	0	0	0	0	0	
1997	3	10	0	0	0	0	0	0	0	0	0	0	0	0	0	119	0	
1998	14	248	922	0	0	0	0	40000	0	0	0	0	46	0	0	100	0	
1999	21	168	354	6	0	0	0	0	0	0	0	0	0	0	0	0	0	
2000	16	74	251	0	0	0	0	260	0	0	0	0	0	0	0	0	0	
2001	6	48	0	0	0	0	0	170	20	0	0	0	0	0	70	0	0	
2002	6	163	403	0	0	0	0	53246	0	0	0	0	0	0	0	0	0	
2003	3	28	3	0	0	0	0	1000	0	0	0	0	0	0	0	0	0	
2004	15	53	0	0	0	0	22	620	0	0	0	0	0	0	0	20	0	
2005	14	53	0	0	0	0	0	376	0	0	0	0	0	0	0	0	0	
2006	15	290	40	0	0	0	0	6562	0	0	0	0	0	0	0	0	0	
2007	17	177	0	0	0	0	0	4359	0	0	0	0	0	0	0	0	0	
2008	47	178	108	0	0	0	198	1086	0	0	0	0	0	0	0	0	0	
2009	9	38	0	0	0	0	117	85	0	0	0	0	4	0	0	0	0	
2010	8	23	74	0	0	0	0	136	0	0	0	0	0	0	4.05	0	0	
2011	24	239	13	0	0	0	45	191062	0	0	0	0	0	0	283.28	1000	0	
2012	10	25	166	0	0	0	0	30	0	0	0	0	0	0	0	0	0	
2013	7	14	27	0	0	0	0	65	0	0	0	0	0	0	0	0	0	
2014	3	9	13	0	0	0	0	10	0	0	0	0	0	0	0	0	0	
2015	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	
2016	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2017	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2018	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2020	1	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
TOTAL	284	2524	2672	6			382	299607	20				50		477.33	1639		

