Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1949	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1954	4	0	0	0	0	0	0	0	0	0	0	0	0	0	349	0	0	
1955	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1956	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2340	0	0	
1971	47	0	0	0	0	0	0	0	0	0	0	575750	0	0	42915.2	0	0	
1973	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1985	6	0	0	0	0	0	0	0	0	0	0	0	0	0	11.8	338	0	
1998	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2000	7	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2001	2	1	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2002	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2003	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2004	12	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2005	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
2012	10	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	
2015	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
