Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1947	2	0	0	0	0	0	0	0	0	0	0	503185	0	0	0	0	0	
1949	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1963	3	0	0	0	0	0	0	0	0	0	0	530000	0	0	0	0	13050	
1975	1	1	13	3	0	0	0	0	0	0	0	0	0	0	0	0	0	
1976	4	0	0	0	0	0	0	0	0	0	0	0	0	0	608	0	0	
1979	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1985	1	0	0	0	0	113	0	0	0	0	0	0	0	0	0	0	0	
1993	1	0	0	0	8	40	0	0	0	0	0	0	0	0	0	0	0	
1995	2	0	0	0	1	0	6	0	0	0	0	30550536	0	0	0	0	0	
1996	2	0	0	0	6	0	56	0	0	0	0	6488763	0	0	0	0	0	
1997	5	0	0	0	24	7	151	0	0	0	0	19979586	0	0	15	5	0	
1998	5	0	0	0	6	50	32	0	0	0	0	2609005	0	0	0	0	0	
1999	11	1	0	0	7	0	32	0	0	0	0	16595450	0	0	0	0	0	
2000	5	0	0	0	0	13	0	0	0	0	0	0	3	0	0	0	0	
2001	7	0	0	0	2	25	3	0	0	0	0	1769073	0	0	0	0	0	
2002	16	0	0	0	19	71	153	0	0	0	0	20511679	0	0	0	0	0	
2003	13	0	0	0	13	4	4060	0	0	4	0	5720896	0	0	762	55	3000	
2004	36	1	1	0	22	27	125	0	0	0	0	25060227	0	0	3455	0	9	
2005	12	0	0	0	1	6	1	308	0	0	0	4580563	0	0	3200	0	0	
2006	8	0	0	0	0	7	0	0	0	0	0	1579060	0	0	0	0	0	
2007	6	0	0	0	0	3	20	0	0	20	0	14000000	0	0	0	0	0	
2008	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
2009	11	0	0	0	0	24	17	0	0	0	0	3043306	1	0	2300	0	0	
2010	24	0	0	0	0	67	0	0	0	0	0	904638	0	0	1690	0	0	
2011	3	0	0	0	1	10	38	0	0	0	0	2079538	0	0	0	0	0	
2012	25	0	0	0	0	219	0	0	0	0	0	12405078	0	0	1650	0	0	
2013	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	
2015	7	0	0	0	0	1	0	0	0	0	0	0	0	0	0	50	0	
2016	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2017	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2018	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2020	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
